district,target_fy_2023_24_ac,amt,priority_sector_outstanding_as_on_30062022_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_last_day_of_reporting_quarter_ac,amt,non_priority_sector_outstanding_as_on_30062022_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_ac,amt,outstanding_as_on_last_day_of_reporting_quarter_ac,amt
Bokaro,2787,32162.00,3119,29804.72,230,814.51,2982,28073.06,2032,40365.16,303,3396.19,3927,61499.14
Chatra,96,1475.00,167,1285.53,6,21.47,164,1306.66,100,1723.30,12,300.37,179,2856.95
Deoghar,1241,15868.00,1781,12441.70,72,117.65,1766,12056.95,729,14081.61,106,1194.38,1550,27107.16
Dhanbad,6265,46629.00,7892,76810.36,990,1691.65,8781,77332.31,2138,35088.04,389,3715.13,6417,64950.25
Dumka,282,3277.00,731,5613.50,8,78.75,755,6071.83,200,3726.32,14,170.50,287,5783.20
East Singhbhum,8246,89381.00,8087,70182.47,830,1997.30,9119,74199.07,6346,135937.11,667,8824.68,12695,200993.79
Garhwa,148,1558.00,254,2062.82,17,36.29,264,2223.71,77,1340.65,12,226.78,158,2301.24
Giridih,466,7261.00,932,7810.14,67,146.76,870,7079.60,360,7341.31,83,1111.15,831,14360.14
Godda,313,3676.00,1144,9842.80,9,68.30,1112,10138.44,119,1864.12,34,283.40,276,3282.23
Gumla,193,2517.00,319,2456.28,13,56.93,268,2280.02,131,2607.52,20,205.57,213,3914.39
Hazaribagh,1401,16265.00,2284,18992.20,78,484.19,2169,17916.15,1039,19206.32,157,1957.92,2094,30888.32
Jamtara,70,1077.00,404,2990.18,2,18.49,351,2503.11,143,1530.67,29,176.27,257,2582.19
Khunti,157,2474.00,251,2322.01,10,32.39,215,2070.68,111,2405.75,8,109.26,198,3883.46
Koderma,417,3755.00,603,4009.77,35,122.68,603,3798.38,195,3806.89,46,432.04,344,5901.58
Latehar,93,1307.00,236,1905.61,10,81.81,181,1897.05,63,1317.35,12,72.01,120,2068.72
Lohardaga,166,2564.00,292,2259.98,11,29.10,259,2085.74,112,2113.61,29,293.40,193,3829.42
Pakur,171,1896.00,429,3351.98,3,24.50,401,3367.17,112,2614.41,27,308.61,346,4922.87
Palamu,410,5379.00,668,5762.79,34,191.98,708,6056.94,254,5286.67,51,832.86,495,9174.61
Ramgarh,934,13326.00,990,8597.22,55,270.84,895,8276.81,647,13553.86,119,1662.90,1286,23074.78
Ranchi,10307,175796.00,12473,141737.48,926,5133.10,11391,133705.01,9264,239502.47,1130,18623.75,17757,360326.75
Sahibganj,216,2191.00,452,3927.39,4,32.66,467,4145.27,107,1445.43,14,103.55,237,2787.04
Seraikela-Kharsawan,1290,12961.00,960,8127.16,113,271.74,1218,9434.50,736,13929.50,80,818.83,1572,23619.74
Simdega,74,795.00,143,1331.42,7,23.69,125,1137.55,53,812.84,7,59.02,92,1459.87
West Singhbhum,441,6410.00,981,8875.78,42,340.39,895,8481.48,476,8320.29,52,591.68,758,11578.67
