district,shishu_outstanding_no,amt,npa_no,amt,kishor_outstanding_no,amt,npa_no,amt,tarun_outstanding_no,amt,[no_in_actual_and_amt_in_lakh]_npa_no,amt,pmmy_outstanding_no,amt,npa_no,amt
Bokaro,87556,15507.75,11135,1532.52,44483,36122.22,4280,4953.84,3368,18895.34,557,2969.02,135407,70525,15972,9455
Chatra,11154,1941.70,1302,282.41,5904,7119.52,1216,1663.95,1123,6153.47,154,886.98,18181,15215,2672,2833
Deoghar,34570,7086.19,1990,495.34,21724,18657.70,2395,2570.05,1722,10360.18,204,1057.60,58016,36104,4589,4123
Dhanbad,150243,30204.93,13293,1623.03,67074,48100.92,4115,4656.90,4072,24531.53,557,2621.17,221389,102837,17965,8901
Dumka,37345,7247.39,5019,927.16,21495,14182.86,2307,1906.05,846,4448.53,164,574.56,59686,25879,7490,3408
East Singhbhum,129836,26046.95,8355,1443.18,74620,53172.38,5219,5863.43,4577,27853.69,625,3461.20,209033,107073,14199,10768
Garhwa,16824,4236.24,1190,303.97,12477,9315.42,819,955.89,809,4935.50,66,325.48,30110,18487,2075,1585
Giridih,164276,30101.83,11234,1620.17,76174,47476.94,4363,4597.94,2565,14922.51,302,1590.46,243015,92501,15899,7809
Godda,18560,3738.60,2175,502.76,17954,14266.00,2003,2354.52,1133,6226.23,162,727.86,37647,24231,4340,3585
Gumla,10388,1097.33,1022,203.13,4735,5295.83,886,1125.89,816,4371.52,114,569.73,15939,10765,2022,1899
Hazaribagh,92039,17257.16,5684,921.52,48894,36289.02,4205,5312.59,3092,17738.62,502,2644.20,144025,71285,10391,8878
Jamtara,6680,937.04,941,174.19,4431,5173.69,817,897.89,360,2126.40,45,222.52,11471,8237,1803,1295
Khunti,12465,1704.84,811,182.71,5849,5106.75,530,706.14,461,2575.31,42,256.47,18775,9387,1383,1145
Koderma,47488,8561.36,3297,394.09,26988,18195.26,1430,1620.10,1260,7435.98,200,1037.48,75736,34193,4927,3052
Latehar,33836,6522.15,1158,192.05,12850,7652.84,630,613.30,512,2989.81,52,207.39,47198,17165,1840,1013
Lohardaga,9405,1293.38,641,145.33,6232,6105.02,876,1295.72,774,4208.55,122,614.74,16411,11607,1639,2056
Pakur,65156,11401.48,4335,627.34,33884,17613.34,1728,1199.23,1023,4318.53,73,318.53,100063,33333,6136,2145
Palamu,32276,8170.98,2575,917.28,31244,22038.11,1985,2704.23,1805,10870.65,311,1565.56,65325,41080,4871,5187
Ramgarh,23468,3803.19,4213,673.82,20533,17925.36,2327,2779.68,1730,9822.07,244,1378.59,45731,31551,6784,4832
Ranchi,279041,55009.75,17788,2630.83,143266,96541.87,8842,9760.57,8831,50315.20,1253,7312.10,431138,201867,27883,19704
Sahibganj,20574,3601.32,2023,310.19,21966,14586.64,1529,1215.45,1119,5945.81,120,510.01,43659,24134,3672,2036
Seraikela-Kharsawan,31700,5068.49,3801,419.12,16864,14861.69,1482,1734.58,1111,6785.40,154,848.06,49675,26716,5437,3002
Simdega,7568,860.90,600,125.85,3639,3737.71,483,684.51,463,2613.10,57,355.70,11670,7212,1140,1166
West Singhbhum,175296,32398.38,7097,926.45,56626,33467.60,2521,2189.83,1206,7285.30,171,897.90,233128,73151,9789,4014
