district,farm_credit_target_no,amt,achv_no,amt,achv_pct_amt,crop_loans_out_of_farm_credit_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,73698,57682,27067,26774.83,46.42,54209,33828,13910,11138.63,32.93
Chatra,67909,34191,20008,15110.31,44.19,58197,22984,13345,8502.87,37.00
Deoghar,76127,59230,46630,33864.78,57.18,59209,40124,29196,18667.12,46.52
Dhanbad,70661,53606,31827,33818.66,63.09,37809,20327,9668,11154.07,54.87
Dumka,66623,49707,33712,25111.58,50.52,43671,27009,18042,9390.48,34.77
East Singhbhum,111102,73662,43977,41759.48,56.69,87323,40507,21996,17832.43,44.02
Garhwa,64901,68778,37079,33881.39,49.26,30470,35241,15237,13727.64,38.95
Giridih,109683,57660,41082,33207.64,57.59,84491,29657,16273,11615.02,39.16
Godda,65020,57410,26363,22644.52,39.44,46243,37818,14577,11486.50,30.37
Gumla,45189,29114,11701,10579.63,36.34,40945,22689,8008,5652.06,24.91
Hazaribagh,110887,69138,41840,38567.27,55.78,77552,34395,18441,14874.57,43.25
Jamtara,41824,32559,16973,13134.72,40.34,37847,26717,13053,9116.61,34.12
Khunti,26799,16533,12491,8783.85,53.13,23142,10573,6276,3816.92,36.10
Koderma,54955,22334,16855,12914.27,57.82,39566,9702,6897,4065.37,41.90
Latehar,26276,24029,12631,11791.62,49.07,20371,16661,7806,5775.38,34.66
Lohardaga,38246,15193,9107,7600.75,50.03,33331,11437,6222,5043.81,44.10
Pakur,32689,28682,12929,11949.24,41.66,24280,17544,6057,4686.80,26.71
Palamu,90008,90630,52098,45618.69,50.33,45232,49892,21563,19974.44,40.04
Ramgarh,38543,22698,18892,14094.14,62.09,26690,10257,7285,4357.02,42.48
Ranchi,1100977,402954,544646,257342.63,63.86,92137,50517,21269,17763.30,35.16
Sahibganj,48305,49707,19687,19956.12,40.15,34427,30349,10468,9143.86,30.13
Seraikela-Kharsawan,152588,59026,67988,36277.06,61.46,63727,21838,13645,8328.07,38.14
Simdega,29477,13344,6868,5756.41,43.14,22824,7184,4144,2267.27,31.56
West Singhbhum,76191,40635,23724,19167.31,47.17,65683,26750,16812,8744.68,32.69
