district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,33,18.53,158,103.30,102,75
Chatra,17,14.93,173,69.16,81,59
Deoghar,106,27.79,303,115.90,57,52
Dhanbad,17,25.31,234,199.46,156,101
Dumka,30,8.83,76,27.61,37,32
East Singhbhum,13,8.67,126,75.64,95,52
Garhwa,23,10.24,114,64.52,73,47
Giridih,45,29.43,161,85.11,110,87
Godda,102,91.93,243,186.87,70,64
Gumla,10,5.49,154,64.93,113,73
Hazaribagh,206,196.19,647,434.67,321,209
Jamtara,12,3.51,73,25.70,31,23
Khunti,30,7.40,265,84.99,157,89
Koderma,16,3.61,126,40.14,96,88
Latehar,147,52.51,318,116.39,77,61
Lohardaga,45,26.91,524,182.47,443,345
Pakur,82,23.01,173,106.00,27,18
Palamu,56,28.53,205,146.91,53,42
Ramgarh,12,13.56,246,83.15,163,126
Ranchi,387,118.98,934,461.75,292,230
Sahibganj,137,68.35,389,175.56,233,223
Seraikela-Kharsawan,36,21.61,83,73.55,66,65
Simdega,3,21.05,553,75.23,511,420
West Singhbhum,13,9.52,73,51.44,16,16
