district,target_no,amt,disbursement_upto_the_end_of_current_quarter_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_msme_no,amt,achv_pct_amt
Bokaro,17603,187419,19238.00,124213,774.00,66863,119.00,47632,65.00,198,20196.00,238906,127.47
Chatra,3567,17845,3747.00,18489,61.00,4042,16.00,367,,,3824.00,22898,128.31
Deoghar,10076,95019,12761.00,71983,512.00,36322,84.00,14550,19.00,24,13376.00,122879,129.32
Dhanbad,22124,336626,33163.00,201855,1355.00,158913,252.00,46891,13.00,376,34783.00,408036,121.21
Dumka,10286,55010,7172.00,30758,324.00,21681,30.00,8678,8.00,185,7534.00,61302,111.44
East Singhbhum,25073,562776,30036.00,262492,3188.00,273587,673.00,165962,20.00,35,33917.00,702077,124.75
Garhwa,3460,18193,4283.00,20210,97.00,2836,4.00,66,1.00,20,4385.00,23132,127.15
Giridih,13681,93626,18811.00,80839,386.00,32496,46.00,10663,3.00,35,19246.00,124033,132.48
Godda,8036,30491,7507.00,27462,238.00,7783,7.00,1449,3.00,7,7755.00,36700,120.36
Gumla,3402,16665,2987.00,18175,97.00,4404,4.00,87,,,3088.00,22666,136.01
Hazaribagh,12628,112471,15876.00,93083,548.00,37132,48.00,6444,3.00,36,16475.00,136695,121.54
Jamtara,3029,11538,3557.00,10660,90.00,2869,8.00,36,3.00,20,3658.00,13585,117.74
Khunti,2644,11800,2518.00,11924,69.00,3126,2.00,251,2.00,10,2591.00,15310,129.75
Koderma,5895,43091,8896.00,41311,189.00,7330,27.00,2363,3.00,12,9115.00,51015,118.39
Latehar,2089,12514,3851.00,13545,67.00,2654,6.00,250,1.00,50,3925.00,16498,131.83
Lohardaga,2704,16483,2836.00,14930,109.00,3731,7.00,1067,6.00,31,2958.00,19759,119.88
Pakur,3389,24575,7701.00,20931,239.00,7947,12.00,890,1.00,0,7953.00,29768,121.13
Palamu,7306,45387,7756.00,39828,253.00,13197,28.00,2369,,,8037.00,55394,122.05
Ramgarh,8043,77891,8230.00,54218,351.00,32207,40.00,7503,4.00,15,8625.00,93942,120.61
Ranchi,57246,706363,67622.00,408309,3000.00,322675,423.00,175142,18.00,359,71063.00,906484,128.33
Sahibganj,5248,17717,6902.00,17112,116.00,2426,15.00,135,5.00,9,7038.00,19682,111.09
Seraikela-Kharsawan,16747,123012,15373.00,52027,439.00,56476,99.00,43533,29.00,218,15940.00,152253,123.77
Simdega,2078,9933,2104.00,10010,56.00,1197,1.00,2,,,2161.00,11209,112.85
West Singhbhum,7206,41055,7303.00,30644,271.00,13029,67.00,3435,36.00,27,7677.00,47135,114.81
