district,total_npa_under_non_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,others_no,amt,total_non_psl_npa_no,amt,total_npa_psl_npa_+_non_psl_npa_no,amt,total_advances_amt,npa_pct,col_16
Bokaro,11,33,53,800,1,11,11950,9088,12015,9931.46,45758,55895.82,881901.37,6.34,
Chatra,7,22,3,1,,,1138,690,1148,712.17,25142,17154.36,146447.61,11.71,
Deoghar,1,0,3,6,2,8,2619,1718,2625,1732.41,33351,20539.66,406860.25,5.05,
Dhanbad,14,74,109,930,3,8,13222,14957,13348,15969.51,52660,55579.79,1519924.07,3.66,
Dumka,3,9,1,13,,,2181,1035,2185,1057.23,21371,10035.49,218850.64,4.59,
East Singhbhum,6,51,169,2635,8,54,14325,23817,14508,26556.65,53279,90381.13,2248197.14,4.02,
Garhwa,8,10,1,27,,,1107,699,1116,735.75,14346,9621.51,172463.85,5.58,
Giridih,4,10,22,166,2,3,4315,2158,4343,2336.02,43091,29334.15,465116.48,6.31,
Godda,12,42,1,,,,1317,1051,1330,1092.36,21111,14211.31,199898.31,7.11,
Gumla,13,33,3,42,,,921,563,937,637.00,29632,15768.25,131598.25,11.98,
Hazaribagh,5,18,87,683,4,17,5248,3158,5344,3876.11,46036,44103.72,615523.04,7.17,
Jamtara,,,1,6,,,712,779,713,784.54,10511,5603.18,98024.84,5.72,
Khunti,1,0,3,41,,,722,642,726,683.19,10977,6878.87,102986.06,6.68,
Koderma,4,4,10,97,,,2688,1176,2702,1276.79,22250,18059.19,197306.18,9.15,
Latehar,4,13,4,36,,,545,664,553,713.20,6000,4261.88,116699.87,3.65,
Lohardaga,,,4,132,,,911,850,915,981.97,18705,13429.30,101479.07,13.23,
Pakur,,,,,,,2401,973,2401,973.45,14490,8671.47,139162.67,6.23,
Palamu,17,18,3,2,1,1,3066,2495,3087,2516.21,30305,22515.68,348813.50,6.45,
Ramgarh,2,7,11,138,,,3408,5361,3421,5506.09,20759,24671.92,403399.41,6.12,
Ranchi,42,750,208,3495,11,98,20053,59847,20314,64190.15,77349,209927.02,4189139.50,5.01,
Sahibganj,13,47,11,14,,,1712,1299,1736,1359.35,16847,12382.36,149238.33,8.30,
Seraikela-Kharsawan,1,0,20,398,,,3980,2979,4001,3377.57,26201,22227.85,452887.56,4.91,
Simdega,1,5,,,,,969,502,970,506.40,13077,7471.74,64370.31,11.61,
West Singhbhum,6,78,35,277,,,2731,3206,2772,3560.22,27452,24710.49,427211.16,5.78,
