district,target_fy_2024_25_ac,amt,priority_sector_outstanding_as_on_30th_june_2023_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_30th_june_2024_ac,amt,non_priority_sector_outstanding_as_on_30th_june_2023_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_30th_june_2024_ac,amt
Bokaro,2081,24553.45,2982,28073.06,229,691.22,3212,30828.77,3927,61499.14,403,4618.97,4159,72221.10
Chatra,59,976.57,164,1306.66,12,57.82,163,1282.35,179,2856.95,19,311.63,186,3196.61
Deoghar,854,10771.97,1766,12056.95,66,303.72,1655,11895.48,1550,27107.16,155,2506.42,1722,33781.73
Dhanbad,5944,41955.67,8781,77332.31,635,2892.85,10046,88679.68,6417,64950.25,548,7283.74,7116,83016.91
Dumka,180,2550.88,755,6071.83,37,182.66,738,5984.29,287,5783.20,24,288.13,317,6810.91
East Singhbhum,156,1410.29,264,2223.71,23,69.44,280,2429.45,158,2301.24,21,264.43,174,2806.60
Garhwa,511,6770.27,870,7079.60,67,171.95,910,7358.93,831,14360.14,96,1225.82,909,17747.53
Giridih,248,2996.89,1112,10138.44,45,362.81,1062,10207.07,276,3282.23,31,404.31,311,4456.48
Godda,138,1984.75,268,2280.02,24,60.94,274,2457.13,213,3914.39,23,438.94,228,5078.30
Gumla,986,12770.04,2169,17916.15,105,345.78,2235,18420.34,2094,30888.32,192,2583.97,2279,38060.48
Hazaribagh,66,894.40,351,2503.11,6,46.29,333,2312.80,257,2582.19,8,15.18,225,2639.94
Jamtara,114,1414.43,215,2070.68,22,97.05,229,2172.17,198,3883.46,11,99.29,208,4312.41
Khunti,263,2937.92,603,3798.38,23,95.50,593,4047.83,344,5901.58,40,399.01,373,7007.11
Koderma,68,1005.66,181,1897.05,13,45.84,180,1916.88,120,2068.72,10,171.50,116,2482.67
Latehar,163,1423.35,259,2085.74,9,34.58,260,2115.42,193,3829.42,18,112.59,213,4354.33
Lohardaga,108,1391.06,401,3367.17,8,48.87,394,3557.85,346,4922.87,24,507.35,335,5393.39
Pakur,361,4320.24,708,6056.94,67,223.69,729,6397.91,495,9174.61,43,648.36,547,10819.69
Palamu,347,5961.33,895,8481.48,48,330.36,864,8209.78,758,11578.67,56,807.62,815,14469.15
Ramgarh,6786,75616.62,9119,74199.07,496,2256.62,9777,77372.56,12695,200993.79,1207,16560.18,13668,238978.79
Ranchi,720,10561.30,895,8276.81,55,236.95,965,9056.00,1286,23074.78,123,1649.35,1406,27832.95
Sahibganj,8825,150046.81,11391,133705.01,890,4419.63,12283,143904.53,17757,360326.75,1648,27800.64,19610,432245.17
Seraikela-Kharsawan,138,1592.11,467,4145.27,40,70.83,487,4220.81,237,2787.04,21,182.10,255,3369.22
Simdega,1019,10118.32,1218,9434.50,85,393.79,1425,10566.57,1572,23619.74,154,2033.74,1778,30864.08
West Singhbhum,61,467.92,125,1137.55,3,17.19,123,1069.22,92,1459.87,9,49.56,93,1618.72
