district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorastrians_no,amt,jains_no,amt,total_no,amt
Bokaro,278,616.98,2193,4112.73,110,89.22,35,200.50,,,17,94.34,2633,5113.76
Chatra,262,313.25,825,1118.35,,,13,8.33,,,4,2.40,1104,1442.33
Deoghar,749,581.73,3107,3873.93,15,11.89,15,38.11,,,1,0.40,3887,4506.06
Dhanbad,302,681.16,5716,8034.10,134,94.33,92,1034.67,1,0.80,9,237.60,6254,10082.65
Dumka,645,823.17,1276,924.45,5,4.92,8,2.54,2,3.34,5,2.35,1941,1760.77
East Singhbhum,559,1307.90,3131,6615.46,167,159.55,509,4435.40,3,3.70,14,46.90,4383,12568.91
Garhwa,493,627.99,1522,1377.62,3,0.16,2,0.02,,,5,3.26,2025,2009.05
Giridih,316,464.91,5454,5200.25,3,1.05,29,1161.48,,,28,148.60,5830,6976.29
Godda,485,551.62,2558,2455.61,3,0.53,17,19.83,,,4,2.38,3067,3029.97
Gumla,539,709.51,659,695.34,1,0.20,13,98.88,,,1,0.20,1213,1504.12
Hazaribagh,514,802.90,3062,4485.84,35,29.81,22,217.84,1,19.30,25,55.47,3659,5611.17
Jamtara,255,211.95,1256,1134.75,1,0.00,3,5.29,,,3,1.78,1518,1353.77
Khunti,368,615.63,257,261.68,7,18.35,11,18.73,1,0.08,2,10.53,646,925.00
Koderma,94,148.39,1200,1351.86,,,11,37.06,,,7,31.87,1312,1569.19
Latehar,294,421.98,815,906.10,,,7,28.11,,,2,1.00,1118,1357.19
Lohardaga,158,348.67,1391,1322.91,1,0.30,2,0.28,1,8.70,4,1.51,1557,1682.36
Pakur,342,371.69,6885,5892.25,,,23,85.18,2,5.08,,,7252,6354.20
Palamu,748,964.66,2059,2140.96,4,4.61,7,161.99,,,13,34.30,2831,3306.52
Ramgarh,130,369.52,1372,2252.64,9,6.78,46,508.25,1,0.35,6,156.52,1564,3294.06
Ranchi,3847,7255.28,49721,30042.61,290,239.51,136,994.33,1,0.50,41,1331.07,54036,39863.30
Sahibganj,501,519.08,3125,2758.24,1,0.50,5,6.64,,,1,0.68,3633,3285.14
Seraikela-Kharsawan,330,405.26,2515,1479.03,7,18.66,14,39.11,,,2,0.80,2868,1942.86
Simdega,833,933.95,301,467.53,2,0.40,3,1.10,,,2,0.45,1141,1403.43
West Singhbhum,596,665.00,732,923.63,15,6.24,33,241.83,,,6,2.90,1382,1839.59
