district,shgs_credit_linkage_target_fy_2024_25_total_no_shgs_for_credit_linkage,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh,achievements_as_on_30062024_total_shgs_repeat_renewals_enhancement_fy_2022_23,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh
Bokaro,9860,18050,25140,4623,4924,24121
Chatra,7300,13360,18610,4909,2993,17807
Deoghar,6280,11490,16000,2074,2265,12489
Dhanbad,7080,12950,18040,2995,3256,15727
Dumka,8090,14810,20620,2492,2632,16490
Garhwa,8200,15020,20910,2829,3181,18144
Giridih,12470,22830,31800,5146,4512,30024
Godda,6450,11800,16430,4097,3248,16229
Gumla,6290,11510,16030,1836,1897,12896
Hazaribagh,11160,20420,28440,6867,6126,29691
Jamtara,3980,7280,10140,1553,1283,7824
Khunti,3870,7080,9860,1759,1994,10528
Koderma,5000,9160,12750,3043,2566,15121
Latehar,5420,9920,13820,2443,1579,14285
Lohardaga,3460,6340,8830,1373,1464,8730
Pakur,5920,10840,15100,3491,1677,15205
Palamu,12390,22680,31590,4727,3447,27490
Ramgarh,5700,10440,14540,3104,2898,15281
Ranchi,14860,27210,37890,6920,5619,40160
Sahibganj,5880,10760,14980,3669,2285,13688
Simdega,4330,7900,11030,1760,1518,9643
West Singhbhum,9230,16890,23520,3213,2785,26617
