district,target_for_fy_2024_25_no,amt,application_received_during_current_fiscal_no,sanctioned_during_the_year_including_application_received_during_previous_year_n,amount,of_which_girl_student_no,amount,disbursed_during_the_financial_year_2024_25_till_30th_september_2024_no,amount,education_loan_outstanding_as_on_30th_september_2024_no,amount,of_which_girl_student_no,amount,col_15
Bokaro,1545,3520,343,343,2588.73,125,1229.41,934,1819.06,3389,14185.95,1034,4776.71,
Chatra,78,175,13,13,69.56,1,3.88,39,59.27,243,746.01,37,127.06,
Deoghar,495,1378,95,95,629.41,26,190.11,340,668.04,1160,5352.92,295,1688.48,
Dhanbad,2339,4640,560,560,2668.50,156,724.26,1855,11895.16,5481,20154.67,1401,5965.25,
Dumka,80,182,11,11,29.84,3,5.03,46,65.99,257,946.21,72,255.28,
East Singhbhum,3474,13687,856,856,7905.85,347,3264.81,2210,8349.04,8925,60907.43,3218,21598.61,
Garhwa,125,296,18,18,70.61,7,25.63,60,70.58,291,909.25,66,199.25,
Giridih,394,843,83,83,277.24,24,88.12,208,332.42,1064,3661.72,232,974.66,
Godda,163,312,25,25,93.32,10,39.21,111,144.94,418,1381.94,111,376.49,
Gumla,316,565,24,24,124.00,12,68.86,55,94.44,469,1080.00,300,507.14,
Hazaribagh,602,1639,162,162,965.79,46,310.38,383,764.08,1516,6374.02,363,1735.11,
Jamtara,330,455,13,13,50.61,4,15.17,37,66.45,411,755.32,268,300.25,
Khunti,72,165,14,14,131.75,8,78.43,47,106.27,178,640.72,68,247.83,
Koderma,254,558,50,50,215.05,16,64.98,131,160.90,560,2042.12,134,521.53,
Latehar,121,204,17,17,44.61,9,30.51,45,62.21,228,567.04,106,188.00,
Lohardaga,67,126,18,18,70.04,4,4.21,41,67.08,225,814.72,76,279.20,
Pakur,90,149,14,14,87.25,4,19.37,32,83.27,131,376.37,56,91.96,
Palamu,288,581,84,84,320.77,27,128.28,202,302.02,804,2716.09,189,686.15,
Ramgarh,406,1133,117,117,674.75,43,205.00,256,495.02,1095,4277.96,330,1522.69,
Ranchi,5186,16367,1235,1235,10117.88,467,4049.28,3252,8971.86,12918,68339.19,4858,23471.31,
Sahibganj,280,426,26,26,87.40,4,17.26,80,128.23,544,1260.77,311,526.44,
Seraikela-Kharsawan,1014,1602,119,119,584.99,32,160.24,624,728.48,2128,7006.25,586,1742.43,
Simdega,43,175,13,13,55.75,5,17.80,18,36.05,142,394.58,64,138.25,
West Singhbhum,589,1412,70,70,584.49,26,179.06,249,594.55,1534,6593.29,710,2325.51,
