district,as_on_30th_september_2024_export_credit_no,amt,education_no,amt,housing_no,amt,social_infra_no,amt,renewable_energy_no,amt,others_priority_sector_no,amt,total_priority_sector_no,amt,pct_of_total_pri_sec_loans_to_total_advances,col_17
Bokaro,,,3281,12115.66,3191,30173.14,3,7.75,2,1.15,27432,9627.73,170018,424083.69,46.16,
Chatra,,,242,746.01,168,1328.49,1,0.47,,,4783,1652.05,93294,95026.28,62.80,
Deoghar,,,1103,4187.14,1640,11543.92,1,8.56,4,0.32,17163,5507.50,159450,240728.76,57.05,
Dhanbad,1,2479.80,5350,18057.48,10036,88175.33,7,27.21,1,1.21,60057,21989.33,250425,704766.45,44.65,
Dumka,,,252,831.05,738,5840.46,7,2.31,36,33.68,17353,6325.78,128200,131274.18,58.93,
East Singhbhum,,,7732,34661.72,9709,75866.25,75,83.02,,,58523,21831.08,283401,1030873.63,42.31,
Garhwa,,,290,909.25,282,2407.53,14,39.62,8,2.49,13241,4814.81,122610,115561.61,66.22,
Giridih,25,3002.00,1044,3257.16,912,7195.81,11,12.77,1,1.76,30185,10973.28,224779,272287.73,56.52,
Godda,,,411,1285.13,1071,10201.67,1,0.32,39,3.81,10478,4102.68,118363,121046.52,58.67,
Gumla,,,466,1012.31,266,2334.04,2,0.21,1,8.91,5025,1667.73,79202,83493.44,61.04,
Hazaribagh,,,1455,5264.86,2236,18157.39,22,13.77,,,21173,8921.33,199224,360877.64,56.06,
Jamtara,,,406,693.11,335,2307.13,,,15,2.91,2930,781.10,67637,59592.17,59.47,
Khunti,,,174,557.25,225,2150.76,3,7.09,,,3821,1156.39,51874,52517.92,49.73,
Koderma,,,551,1838.33,558,4100.05,1,0.26,,,10231,3385.56,88488,125686.33,61.81,
Latehar,,,227,552.28,179,1911.82,1,0.26,3,0.65,4882,1315.87,53606,64367.88,53.47,
Lohardaga,,,221,754.39,256,2047.26,,,,,5561,1966.14,54572,64022.72,61.21,
Pakur,,,126,316.55,390,3435.30,12,3.46,,,20991,7215.72,85381,91654.77,64.21,
Palamu,,,796,2577.38,750,6287.15,4,20.63,3,2.90,22886,9636.27,191780,202900.40,57.47,
Ramgarh,,,1064,3629.37,907,8401.37,8,33.79,1,6.00,13995,5153.32,92681,175220.77,43.21,
Ranchi,2,3465.00,12018,54409.81,12385,144131.53,1417,77.63,149,35.87,45537,24354.32,1309546,1722844.78,39.23,
Sahibganj,,,542,1243.91,518,4194.30,,,42,38.72,15575,5908.74,95088,91220.97,60.06,
Seraikela-Kharsawan,,,2064,6076.39,1444,10516.75,,,,,11413,4566.97,206688,282518.76,60.55,
Simdega,,,138,356.70,122,1053.52,1,0.25,,,3275,1019.22,40362,41423.13,61.36,
West Singhbhum,,,1494,6066.17,878,8204.01,2,0.39,,,14474,4613.00,124218,162473.81,35.25,
