district,outstanding_loans_to_women_a_cs,amount,individual_women_a_cs,amount,loans_disbursed_to_women_a_cs,amount,col_8
Bokaro,102608,135121.68,37849,13349.88,26128,31075.44,
Chatra,36251,30594.76,16415,5545.22,11578,7595.02,
Deoghar,66108,62896.24,29397,10195.08,20458,18674.37,
Dhanbad,178201,199404.72,61998,26601.62,43172,47918.23,
Dumka,58279,41396.14,44595,14656.76,17433,11838.54,
East Singhbhum,201524,300460.18,71106,30811.37,60323,71129.38,
Garhwa,61067,33719.27,39278,13635.90,12153,8981.64,
Giridih,127112,86588.80,70012,23510.00,37482,23941.08,
Godda,54543,37771.40,37761,14265.77,15725,11636.61,
Gumla,26702,31224.23,6986,2466.54,8891,7650.50,
Hazaribagh,105636,106510.43,41016,18060.03,27504,26359.90,
Jamtara,17154,14836.73,9466,3427.98,6217,3902.60,
Khunti,24462,22387.55,13810,4219.50,6619,6217.09,
Koderma,50873,45514.08,17941,6135.85,13071,10721.55,
Latehar,16504,14923.61,9637,3367.57,4528,3680.21,
Lohardaga,20486,25401.18,8110,2692.39,7028,6392.24,
Pakur,51811,30396.42,39457,13621.27,17904,10892.86,
Palamu,103970,67358.37,61669,23049.68,20541,16885.75,
Ramgarh,57059,64688.36,31361,11505.65,14979,15377.52,
Ranchi,224307,535190.23,76116,35817.13,59734,114823.41,
Sahibganj,53802,33809.21,37882,15731.54,16786,10145.45,
Seraikela-Kharsawan,52683,59140.88,19331,10545.89,14931,14409.38,
Simdega,16986,18023.43,5748,2004.01,7071,5249.87,
West Singhbhum,54302,57413.83,22276,8463.27,17586,14508.57,
