district,credit_sanctioned_outside_jharkhand_and_utilised_inside_jharkhand_outstanding_as,amt,outstanding_as_on_31122024_no_of_a_cs,amt,credit_sanctioned_inside_jharkhand_and_utilised_outside_jharkhand_outstanding_as,amt,outstanding_as_on_31122024_no_of_a_cs,amt
Bokaro,149,538921.73,100,526687.39,8,801.59,12,953.01
Chatra,29,51.19,13,41.82,0,0.00,1,9.91
Deoghar,25,769.99,25,441.86,106,1436.18,99,1119.92
Dhanbad,201,149459.75,121,163565.24,20,3151.04,20,2201.48
Dumka,4,37.27,2,29.06,2,9.09,2,8.51
East Singhbhum,134,668344.09,144,676770.04,14,1343.14,16,1919.24
Garhwa,11,28476.52,11,27302.77,0,0.00,0,0.00
Giridih,19,584.66,32,5297.61,0,0.00,0,0.00
Godda,5,52.00,7,69045.48,3,20.79,3,11.68
Gumla,4,6.84,5,21.40,0,0.00,0,0.00
Hazaribagh,21,3793.20,25,7280.83,6,1107.12,8,2363.90
Jamtara,1,2.90,1,2.03,0,0.00,0,0.00
Khunti,19,42.38,22,42.11,0,0.00,0,0.00
Koderma,9,2127.29,9,3835.28,2,14.76,2,2.44
Latehar,1,3.26,1,2.24,0,0.00,0,0.00
Lohardaga,0,0.00,0,0.00,0,0.00,0,0.00
Pakur,4,10.22,3,11.43,0,0.00,1,2.41
Palamu,38,22673.74,50,22656.22,3,25.32,3,27.07
Ramgarh,230,47140.24,109,45204.93,2,40.58,2,37.32
Ranchi,373,102844.40,265,118194.22,33,17696.41,39,32754.06
Sahibganj,14,188.50,16,200.73,0,0.00,0,0.00
Seraikela-Kharsawan,13,5111.25,19,6335.39,0,0.00,0,0.00
Simdega,6,90.07,7,114.76,1,18.44,1,16.76
West Singhbhum,10,50.40,12,400114.34,1,2.98,1,2.03
