district,outstanding_as_of_last_fy_2023_24_december_qtr_no,amt,total_disbursment_during_this_current_afy_no,amt,outstanding_at_the_end_of_reporting_quarter_no,amt,npa_at_the_end_of_reporting_quarter_no,amt,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_no",kcc_card_activated_no,col_12
Bokaro,53411,32094,24772,11065,52741,32099,18247,7829,22668,12252,
Chatra,55476,30491,25138,10351,55062,30342,19552,9641,19479,12973,
Deoghar,87542,46713,33673,18053,89226,51174,20450,8000,33896,30913,
Dhanbad,44465,27075,16935,10055,44861,28225,18009,7572,16992,8014,
Dumka,68099,30995,23352,8956,67328,30914,15882,5346,26063,23769,
East Singhbhum,78389,45558,40824,19928,84889,49217,21613,8452,39727,23508,
Garhwa,59128,51353,20243,18361,58682,50988,10081,5771,34047,29009,
Giridih,84108,44436,40124,15479,84473,46333,28963,12874,35351,17763,
Godda,60108,37616,25579,14010,62146,39211,14734,7370,22956,17635,
Gumla,53526,26131,14301,6271,53231,27900,24674,9999,20269,13532,
Hazaribagh,77411,50654,33652,18060,77564,51229,27120,16413,25456,11969,
Jamtara,49303,27737,20711,10015,50841,30136,9476,3310,20063,18321,
Khunti,27459,14035,13458,4498,27984,15240,8500,3627,11726,5103,
Koderma,30616,16943,12866,3788,29804,17054,13431,6950,9111,4342,
Latehar,30947,22595,14148,8951,31374,23826,5429,2501,13845,12028,
Lohardaga,33599,18643,11968,6055,33530,20282,15239,7297,11773,7357,
Pakur,30278,20855,13060,6358,30537,17755,9391,4215,7289,6367,
Palamu,84479,67903,26438,23550,83578,66731,17557,10303,51779,40892,
Ramgarh,26800,16916,13318,4795,26806,17906,7610,3408,10107,5172,
Ranchi,95125,63236,41095,22276,209200,91455,28133,13763,36166,22401,
Sahibganj,41094,29525,17191,8396,42663,28932,10911,6280,12830,9800,
Seraikela-Kharsawan,57654,33256,26577,9794,68088,36993,17318,8178,31967,20012,
Simdega,22478,9796,9142,2543,22455,10593,8426,3464,8555,5564,
West Singhbhum,70728,44161,26318,9538,71393,47451,20252,9304,38099,24238,
