district,shishu_accounts,amount,kishor_accounts,amount,tarun_accounts,amount,tarun_plus_accounts,amount,total_accounts,amount,col_12
Bokaro,8087,2948.36,11151,12454.65,3252,9912.77,42,621.61,22532,25937.39,
Chatra,2771,1034.02,4310,4382.00,2400,5306.46,4,55.13,9485,10777.61,
Deoghar,7733,3234.60,8443,8568.10,876,4189.55,30,400.37,17082,16392.62,
Dhanbad,26312,10311.14,21900,20417.14,3327,11474.28,38,471.80,51577,42674.36,
Dumka,5966,2021.43,5282,5001.97,346,1849.63,7,93.80,11601,8966.84,
East Singhbhum,16389,5855.43,17636,17808.07,3321,12211.47,44,596.85,37390,36471.82,
Garhwa,6153,2268.93,5424,5282.76,422,1994.81,14,220.47,12013,9766.97,
Giridih,17689,6346.38,19263,19297.32,3021,10114.63,16,218.10,39989,35976.43,
Godda,7122,2433.21,7208,7612.71,502,2479.48,12,154.99,14844,12680.40,
Gumla,4002,1335.25,2950,3122.72,1470,3308.79,6,90.35,8428,7857.11,
Hazaribagh,7301,2594.03,10594,11582.82,3620,10846.93,17,231.71,21532,25255.49,
Jamtara,2308,701.04,1707,1907.98,454,1417.31,6,94.72,4475,4121.05,
Khunti,1294,428.32,1839,2651.40,579,2300.69,1,11.00,3713,5391.41,
Koderma,4371,1568.38,6972,7697.34,2076,5805.88,4,53.95,13423,15125.55,
Latehar,1964,700.59,1875,1946.18,451,1820.60,6,80.85,4296,4548.22,
Lohardaga,1869,668.03,2704,3136.51,1419,4169.80,2,31.40,5994,8005.74,
Pakur,15062,5232.52,13263,11290.67,756,1855.98,7,89.00,29088,18468.18,
Palamu,8366,3121.33,10486,10568.10,666,3703.00,29,444.18,19547,17836.62,
Ramgarh,6319,2292.54,7168,7543.84,2315,6367.37,9,140.39,15811,16344.14,
Ranchi,17098,6375.52,22266,24589.30,3850,15080.36,46,710.14,43260,46755.31,
Sahibganj,8347,2967.86,9219,8737.76,556,2339.86,12,158.55,18134,14204.03,
Seraikela-Kharsawan,4007,1333.82,4799,4773.04,1422,4039.93,17,231.73,10245,10378.52,
Simdega,730,249.94,1921,2031.31,720,1714.02,1,20.00,3372,4015.27,
West Singhbhum,5510,1821.45,6260,6272.04,1220,3148.96,3,30.70,12993,11273.14,
