district,as_on_30th_june_2025_renewable_energy_pririoty_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,other_priority_sector_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_other_priority_sector_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct,total_priority_sector_o_s_nos,o_s_amt,npa_nos,npa_amt,npa_nos_pct,npa_amt_pct
Bokaro,27,36.40,,,0.00,0.00,17139,5698.21,3367,776,19.65,13.61,24302,64993,3659,2110,15.06,3.25,158776,466890,48436,37120,30.51,7.95
Chatra,2,2.62,,,0.00,0.00,3021,807.59,1245,277,41.21,34.27,3465,3714,1321,451,38.12,12.16,89757,105574,33430,17550,37.25,16.62
Deoghar,41,69.61,3,0,7.32,0.42,11642,3898.18,570,208,4.90,5.33,14478,24276,718,571,4.96,2.35,153527,272213,32054,19325,20.88,7.10
Dhanbad,5,4.55,,,0.00,0.00,57343,19274.54,9085,1801,15.84,9.34,71748,144361,9708,4163,13.53,2.88,393173,804423,113158,56458,28.78,7.02
Dumka,36,34.74,16,17,44.44,48.10,13299,3877.05,1266,347,9.52,8.95,14378,11862,1333,495,9.27,4.17,121622,149446,28950,13002,23.80,8.70
East Singhbhum,22,38.87,,,0.00,0.00,38267,13092.92,4910,1016,12.83,7.76,56631,169690,5645,4384,9.97,2.58,256327,1165154,58307,63926,22.75,5.49
Garhwa,14,10.66,7,2,50.00,21.66,6355,1890.49,2221,485,34.95,25.66,6968,6064,2275,636,32.65,10.49,113167,121347,37905,15247,33.49,12.56
Giridih,1,1.81,,,0.00,0.00,19469,6189.08,3644,858,18.72,13.86,21561,26859,3863,1430,17.92,5.33,213663,302724,84663,35126,39.62,11.60
Godda,37,11.93,33,2,89.19,20.46,7861,2413.14,1137,277,14.46,11.49,9402,15806,1223,457,13.01,2.89,114216,136906,33818,15703,29.61,11.47
Gumla,1,8.36,,,0.00,0.00,4082,1270.02,474,89,11.61,7.04,4879,5976,561,351,11.50,5.87,77656,90440,35965,16784,46.31,18.56
Hazaribagh,5,15.32,,,0.00,0.00,15380,5363.67,2047,516,13.31,9.62,19523,37400,2391,1960,12.25,5.24,185362,405542,51360,40582,27.71,10.01
Jamtara,16,4.86,15,3,93.75,60.53,2617,520.35,83,13,3.17,2.43,3391,3648,122,87,3.60,2.39,67690,64548,12504,6383,18.47,9.89
Khunti,,,,,0.00,0.00,1234,266.70,310,77,25.12,28.93,1675,3653,337,162,20.12,4.43,46637,54673,13510,7220,28.97,13.20
Koderma,1,1.82,,,0.00,0.00,6105,2141.01,1261,283,20.66,13.23,7281,9951,1388,722,19.06,7.26,79884,141426,25890,18575,32.41,13.13
Latehar,5,3.25,3,1,60.00,19.89,3026,670.14,1551,303,51.26,45.16,3489,3607,1589,463,45.54,12.83,51408,72674,17362,7038,33.77,9.68
Lohardaga,,,,,0.00,0.00,4157,1209.98,578,160,13.90,13.21,4673,4704,644,402,13.78,8.55,52845,67017,22250,13275,42.10,19.81
Pakur,,,,,0.00,0.00,14685,4116.77,875,225,5.96,5.46,15205,8307,896,286,5.89,3.44,80451,90363,22928,8809,28.50,9.75
Palamu,12,21.77,1,0,8.33,0.05,12219,3916.16,3653,1061,29.90,27.08,13890,15059,3803,1546,27.38,10.27,175362,208280,55516,26468,31.66,12.71
Ramgarh,5,9.56,,,0.00,0.00,9120,2973.66,2008,576,22.02,19.37,11221,18041,2125,944,18.94,5.23,83715,184584,29046,19878,34.70,10.77
Ranchi,106,282.26,,,0.00,0.00,41447,19720.16,4360,1188,10.52,6.02,67634,304719,5419,6078,8.01,1.99,1145762,2003860,79064,137885,6.90,6.88
Sahibganj,39,28.16,6,5,15.38,18.66,10793,3143.76,1497,412,13.87,13.11,12003,9212,1593,619,13.27,6.72,91946,100935,35153,15001,38.23,14.86
Seraikela-Kharsawan,4,8.21,,,0.00,0.00,8630,2849.01,1039,241,12.04,8.47,12558,27896,1176,665,9.36,2.38,191861,306751,27753,18628,14.47,6.07
Simdega,,,,,0.00,0.00,2205,692.35,129,50,5.85,7.27,2512,2581,166,138,6.61,5.35,39275,45745,12386,6996,31.54,15.29
West Singhbhum,4,6.03,,,0.00,0.00,7911,1684.38,1679,340,21.22,20.20,10372,18666,1847,894,17.81,4.79,116553,169000,35579,22001,30.53,13.02
