district,outstanding_30062025_scheduled_caste_no,amt,scheduled_tribes_no,amt,disbursed_form_01042025_to_30062025_scheduled_caste_no,amt,scheduled_tribes_no,amt
Bokaro,16282,32715.69,16630,32034.25,2310,4654.32,2281,4566.15
Chatra,14545,15951.29,7869,10806.87,2174,2958.48,1057,1883.92
Deoghar,16048,18306.31,14123,15043.23,1573,2456.47,1353,2105.30
Dhanbad,54167,76507.82,30044,32356.64,4891,9135.87,2939,4803.82
Dumka,13632,14127.27,22116,32310.62,1494,1929.25,2763,4357.77
East Singhbhum,19115,33225.26,55892,85799.34,2104,7054.64,6032,12653.98
Garhwa,21475,19616.01,14880,15032.73,1685,2120.72,1020,1083.44
Giridih,25487,21597.06,16983,20053.33,2757,3744.56,2305,4101.75
Godda,11354,13101.67,17737,25841.14,1201,1750.34,2111,3216.28
Gumla,6574,7037.14,32496,37162.95,548,975.75,3174,4988.36
Hazaribagh,26001,30038.97,14571,26541.68,3076,5086.95,2011,4170.54
Jamtara,7174,7964.49,13619,13889.59,910,1103.41,1841,1607.67
Khunti,5755,5963.81,22699,27213.00,603,1112.18,2592,4450.98
Koderma,8790,10455.31,4725,7858.81,1346,1831.65,804,1570.78
Latehar,7763,11494.87,10884,15715.80,1019,1454.06,1197,1790.04
Lohardaga,3564,4566.72,18653,23708.32,373,745.45,2355,4334.93
Pakur,5012,5995.71,16447,18236.16,684,814.63,2692,1860.33
Palamu,35262,34085.08,22092,24676.54,2589,3620.44,1472,1860.18
Ramgarh,10395,18039.04,14089,31911.15,1043,2419.55,1919,4844.53
Ranchi,211210,108357.81,193483,207588.83,23149,16444.83,22954,28347.05
Sahibganj,6326,8131.96,21608,21289.61,713,959.46,2754,2416.49
Seraikela-Kharsawan,25538,15932.69,48885,41879.98,3203,2822.02,5701,5594.58
Simdega,4826,4846.21,15726,16617.76,687,774.86,1891,2403.95
West Singhbhum,11326,15483.03,55261,69604.52,1081,2282.30,4829,7975.79
