district,agri_infrastructure_target_no,amt,achv_no,amt,achv_pct_amt,anicillary_activities_includes_all_ancillary_activites_under_agriculture_sector,amt,achv_no,amt,achv_pct_amt,total_agriculture_farm_credit+agri_infr+anci_acti_target_no,amt,achv_no,amt,achv_pct_amt,col_17
Bokaro,37,173.89,45,263.94,151.78,6177,19847.82,6142,15791.23,79.56,151076,139185.39,37072,38137.98,27.40,
Chatra,2,2.76,5,10.60,384.59,4675,10638.22,5217,8190.78,76.99,117498,90406.92,31622,20653.56,22.85,
Deoghar,42,868.89,44,104.29,12.00,822,14467.27,1280,14809.47,102.37,207701,155876.93,45173,42064.17,26.99,
Dhanbad,102,1961.20,52,248.87,12.69,5327,25899.81,4459,21405.50,82.65,180364,163584.07,62421,63037.34,38.54,
Dumka,7,21.77,24,37.32,171.44,403,3806.90,2039,5027.07,132.05,138022,106689.71,35107,25337.45,23.75,
East Singhbhum,65,1825.03,27,486.87,26.68,9293,34718.50,5157,21665.30,62.40,243734,218597.85,50668,58333.61,26.69,
Garhwa,6,52.53,8,20.32,38.68,363,1309.02,619,1153.78,88.14,171336,121006.13,22215,21761.99,17.98,
Giridih,32,50.38,44,440.00,873.39,6059,22308.34,6278,17490.32,78.40,214830,174967.89,58282,48965.00,27.99,
Godda,101,155.03,30,50.77,32.75,789,2185.91,2908,4833.96,221.14,170659,120259.95,33387,24580.69,20.44,
Gumla,2,5.95,10,80.53,1353.67,3386,10094.69,2899,6868.20,68.04,83870,64158.18,19055,16973.27,26.46,
Hazaribagh,51,202.50,14,71.22,35.17,5525,24766.88,6479,22367.66,90.31,228453,193571.05,45097,53208.20,27.49,
Jamtara,6,11.21,24,60.40,538.86,783,1958.72,1679,2418.52,123.47,108947,71921.35,26298,16109.98,22.40,
Khunti,5,4.79,2,0.67,13.99,1507,4059.64,1609,4718.22,116.22,53999,41033.15,16564,11915.28,29.04,
Koderma,14,53.75,4,88.65,164.93,3793,12682.73,3925,9747.80,76.86,64729,61188.69,21421,19409.02,31.72,
Latehar,2,0.60,4,6.94,1147.88,478,1228.92,1371,2107.07,171.46,91541,67194.56,14909,12040.09,17.92,
Lohardaga,2,89.48,1,4.88,5.45,2708,9247.66,2082,7150.46,77.32,64013,46918.60,14377,14259.38,30.39,
Pakur,22,300.80,9,53.94,17.93,1626,2770.66,3609,3918.76,141.44,90578,72958.20,17179,15294.36,20.96,
Palamu,34,149.96,13,33.65,22.44,764,3603.62,2187,4014.90,111.41,231149,170494.40,31715,29795.54,17.48,
Ramgarh,29,238.12,9,44.89,18.85,3490,10976.92,3474,8775.14,79.94,73869,68604.85,22132,19740.71,28.77,
Ranchi,236,3757.17,71,1350.48,35.94,6818,104769.80,5330,78982.62,75.39,1452260,1071872.63,174539,183767.01,17.14,
Sahibganj,4,15.99,4,8.02,50.16,920,1774.40,2316,3414.71,192.44,118679,84824.73,22802,19728.09,23.26,
Seraikela-Kharsawan,28,40.97,7,41.44,101.15,3795,13081.95,2261,7759.54,59.31,239018,154826.29,44701,27389.04,17.69,
Simdega,4,4.62,2,2.85,61.73,2427,5393.11,1951,3102.87,57.53,37568,30080.29,12241,9082.55,30.19,
West Singhbhum,9,12.62,29,47.44,375.77,3367,8408.48,2024,3713.90,44.17,128098,92012.19,33356,22820.88,24.80,
