district,target_fy_2025_26_ac,amt,priority_sector_outstanding_as_on_30th_september_2024_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_30th_september_2025_ac,amt,non_priority_sector_outstanding_as_on_30th_september_2024_ac,amt,disbursed_from_01st_april_to_the_end_of_reporting_quarter_acp_ac,amt,outstanding_as_on_30th_september_2025_ac,amt
Bokaro,2284,28662,3191,30173,479,3802,3760,46439,4302,75193,578,9063,3780,68551
Chatra,116,1335,168,1328,22,112,210,2196,192,3238,20,371,167,2962
Deoghar,982,14812,1640,11544,150,1202,1640,15489,1788,35345,283,5984,1790,37876
Dhanbad,4734,56018,10036,88175,875,9496,8657,104433,7338,87576,1007,19272,6794,95127
Dumka,333,3717,738,5840,101,655,820,7332,332,6977,48,1120,304,7385
East Singhbhum,177,1831,9709,75866,956,7694,10198,116305,13980,246191,1502,32680,11976,235406
Garhwa,567,7092,282,2408,32,283,309,3213,186,2972,37,558,165,3006
Giridih,420,5565,912,7196,81,746,956,10570,971,18564,160,3647,935,19783
Godda,139,2374,1071,10202,93,904,1106,11959,325,4889,56,1257,284,5466
Gumla,1132,16445,266,2334,24,210,324,3490,244,5427,32,497,204,5005
Hazaribagh,112,1126,2236,18157,232,1362,2649,26186,2436,40748,298,6217,2098,39417
Jamtara,148,1929,335,2307,18,107,359,2470,233,2703,19,233,194,2758
Khunti,194,3117,225,2151,21,121,264,2744,213,4458,40,676,194,4731
Koderma,93,1020,558,4100,44,346,610,5795,388,7365,49,855,329,6862
Latehar,107,1398,179,1912,18,129,201,2296,123,2531,21,1199,117,3300
Lohardaga,221,2075,256,2047,25,67,277,2589,221,4527,32,226,188,3975
Pakur,423,4895,390,3435,47,201,405,3864,342,5634,34,410,319,5519
Palamu,516,7040,750,6287,82,505,860,8131,567,11267,68,1245,534,10917
Ramgarh,5838,89382,907,8401,68,443,995,10962,1439,28800,260,5104,1451,31326
Ranchi,826,10990,12385,144132,1507,13720,14243,199827,20182,446530,2831,67391,19383,454278
Sahibganj,9265,169342,518,4194,131,412,624,4830,267,3645,23,324,224,3331
Seraikela-Kharsawan,365,2028,1444,10517,229,1520,1852,18562,1835,32171,231,3885,1544,28951
Simdega,994,12591,122,1054,5,22,148,1477,95,1608,11,100,73,1394
West Singhbhum,39,466,878,8204,111,1219,999,11630,848,15445,161,3177,796,15430
