district,number_of_pmjdy_accounts_rural,urban,male,female,total,zero_balance_a_c,pct_of_zero_bal_a_c,deposits_held_in_the_a_c_in_lakh,overdraft_under_pmjdy_no_of_acc,o_s,rupay_card_issued,rupay_card_pct,rupay_card_activated,aadhaar_seeded,aadhaar_seeding_pct,col_17
Bokaro,691043,218176,377778,531441,909219,65417,7.19,53940.33,3832,1942.28,687276,75.59,318545,818743,90.05,
Chatra,734862,4655,325697,413820,739517,51294,6.94,42508.93,3984,3493.94,492087,66.54,187763,659045,89.12,
Deoghar,966402,216784,526838,656348,1183186,83158,7.03,67426.86,8909,6952.51,780010,65.92,247833,1039341,87.84,
Dhanbad,968680,316311,534847,750144,1284991,80524,6.27,68159.75,4822,1603.76,993038,77.28,435272,1177806,91.66,
Dumka,902491,5352,386537,521306,907843,67645,7.45,48859.98,8283,7497.54,559928,61.68,151447,779772,85.89,
East Singhbhum,609732,311322,377663,543391,921054,66922,7.27,52667.52,5950,5780.58,717053,77.85,298861,831292,90.25,
Garhwa,959583,4619,443546,520656,964202,86922,9.01,43421.85,10163,11638.57,585206,60.69,226654,823314,85.39,
Giridih,1433357,120025,644940,908442,1553382,105199,6.77,91990.46,4033,3555.23,1059018,68.17,514082,1411421,90.86,
Godda,888049,20388,392575,515862,908437,73760,8.12,39300.98,6382,5258.14,563035,61.98,203826,774312,85.24,
Gumla,609512,24468,270778,363202,633980,51167,8.07,46363.71,3707,3161.41,413987,65.30,195745,571409,90.13,
Hazaribagh,892726,145428,422248,615906,1038154,83960,8.09,59670.46,5131,4786.22,713139,68.69,316512,938176,90.37,
Jamtara,511197,18491,238172,291516,529688,35104,6.63,26579.22,5952,4193.62,326554,61.65,98853,473657,89.42,
Khunti,248099,11257,112836,146520,259356,21112,8.14,17099.89,1672,951.84,137999,53.21,83197,240117,92.58,
Koderma,414984,12575,174471,253088,427559,24980,5.84,27019.03,995,1024.85,336110,78.61,166179,396658,92.77,
Latehar,638357,10388,295916,352829,648745,55291,8.52,31571.46,4343,4707.44,396318,61.09,115739,564894,87.07,
Lohardaga,309387,14063,137673,185777,323450,33433,10.34,19866.42,1678,1618.68,202875,62.72,100027,305492,94.45,
Pakur,749722,11381,337225,423878,761103,58505,7.69,27291.08,2615,2813.91,505627,66.43,150415,683832,89.85,
Palamu,1452101,10190,662332,799959,1462291,138794,9.49,71474.30,15599,18087.18,1002872,68.58,295822,1256934,85.96,
Ramgarh,349918,11927,148691,213154,361845,29315,8.10,24380.81,2582,939.80,267040,73.80,121723,340138,94.00,
Ranchi,1187418,364204,669817,881805,1551622,131455,8.47,93235.28,14284,8031.15,950062,61.23,342156,1325421,85.42,
Sahibganj,982783,31604,457826,556561,1014387,73530,7.25,37448.49,4215,4277.00,650516,64.13,157884,887316,87.47,
Simdega,360770,8610,158835,210545,369380,21411,5.80,29199.11,2221,1414.42,270525,73.24,146279,345565,93.55,
West Singhbhum,837792,30561,381457,486896,868353,56688,6.53,54825.54,10775,4373.09,611386,70.41,234538,787916,90.74,
