district,no_of_branches,pmjjby_fresh_enroll_target,achv,in_pct,renewals,total_active_cases,pmsby_target_fresh_enroll_target,achv,in_pct,renewals,total_active_cases,atal_pension_yojna_apy_target_2025_26,achv,in_pct,since_inception
Bokaro,226,119080,29904,25.11,188597,218501,192920,49368,25.59,632119,681487,20210,12158,60.16,133299
Chatra,69,39936,16919,42.37,128966,145885,65572,25093,38.27,375687,400780,5955,9287,155.95,87291
Deoghar,146,83460,25997,31.15,180958,206955,132912,47960,36.08,630519,678479,12365,14427,116.68,165250
Dhanbad,319,153400,47094,30.70,218141,265235,248456,81130,32.65,790115,871245,25000,10654,42.62,145353
Dumka,126,78052,23671,30.33,184201,207872,124436,34554,27.77,537140,571694,11010,12967,117.77,125341
Garhwa,102,51168,21595,42.20,118025,139620,83876,31542,37.61,374632,406174,7920,9928,125.35,86666
Giridih,185,94380,34278,36.32,232519,266797,155480,61878,39.80,725117,786995,15690,14962,95.36,177555
Godda,103,71500,20541,28.73,157533,178074,112684,30717,27.26,476828,507545,9820,12624,128.55,138003
Gumla,86,42848,17696,41.30,121958,139654,72488,22566,31.13,375807,398373,6425,7640,118.91,84920
Hazaribagh,184,98904,28027,28.34,199112,227139,159848,42470,26.57,605004,647474,16480,12701,77.07,149724
Jamtara,69,45552,11853,26.02,95963,107816,72644,18528,25.51,313054,331582,6260,6068,96.93,74314
Khunti,53,27300,6012,22.02,43548,49560,44772,12895,28.80,134499,147394,3560,4117,115.65,41589
Koderma,67,36608,10372,28.33,78930,89302,60008,18475,30.79,256989,275464,5765,5131,89.00,52895
Latehar,56,30680,11655,37.99,84655,96310,49296,20284,41.15,268871,289155,4215,6725,159.55,65457
Lohardaga,46,22932,9602,41.87,53157,62759,39052,13539,34.67,174080,187619,4245,5128,120.80,45082
Pakur,62,39832,18393,46.18,100274,118667,62972,31548,50.10,398102,429650,5420,11411,210.54,120512
Palamu,143,83252,30903,37.12,206256,237159,134836,60641,44.97,632111,692752,12120,16603,136.99,136333
Ramgarh,118,60164,11204,18.62,116110,127314,97240,23314,23.98,349479,372793,9325,4179,44.82,54984
Ranchi,527,238732,38963,16.32,272011,310974,385736,83843,21.74,861596,945439,43250,24564,56.80,275586
Sahibganj,77,48308,18551,38.40,181760,200311,77220,27922,36.16,644693,672615,7255,12829,176.83,127334
Seraikela-Kharsawan,129,63336,10561,16.67,70353,80914,105664,26680,25.25,228671,255351,10085,6962,69.03,75266
Simdega,53,25480,7222,28.34,81959,89181,43108,23404,54.29,236210,259614,4185,3732,89.18,38984
West Singhbhum,136,71760,22021,30.69,126539,148560,119340,41280,34.59,379177,420457,13045,10746,82.38,109687
