district,period,acp_outstanding__a_c,acp_outstanding__amt,acp_target_achievement__ach,acp_target_achievement__achivemen,acp_target_achievement__achivemen_t,acp_target_achievement__achivement,acp_target_achievement__district_name,acp_target_achievement__t,acp_target_achievement__target,apy__aapb_achieved_in_current_fy,apy__achievement,apy__annual_target,apy__annual_target_achievem_ent_in_current_fy,apy__annual_target_achievement_in_current_fy,apy__annual_target_achievement_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy,apy__apy_accounts_opened_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy_2025_26,apy__coverage,apy__cumulative_apy_accounts_opened_since_inception,apy__district_name,apy__name_of_the_district,apy__no_of_branch_es,apy__no_of_branches,apy__no_of_branches_as_on_01_04_2023,atm_network__district_name,atm_network__rural,atm_network__semi_urban,atm_network__total,atm_network__urban,branch_network__district_name,branch_network__rural,branch_network__semi_urban,branch_network__total,branch_network__urban,cd_ratio__advances,cd_ratio__branch,cd_ratio__deposit,cd_ratio__deposits,cd_ratio__district_name,cd_ratio__rural,cd_ratio__semi_urban,cd_ratio__total,cd_ratio__urban,credit_deposit_ratio__cd_ratio,deaf__axis,deaf__cb,deaf__idbi,deaf__kotak,deaf__sbi,deaf__total,pmegp__102,pmegp__113,pmegp__1171_87,pmegp__1265_52,pmegp__131,pmegp__1327_71,pmegp__1343,pmegp__144,pmegp__1691_60,pmegp__1725_84,pmegp__18,pmegp__180,pmegp__192,pmegp__1940_01,pmegp__197,pmegp__1983_78,pmegp__2,pmegp__200,pmegp__2067_83,pmegp__208,pmegp__212_78,pmegp__217,pmegp__242,pmegp__251,pmegp__265,pmegp__2760_59,pmegp__280,pmegp__288_50,pmegp__3010_35,pmegp__313,pmegp__339_7,pmegp__367_99,pmegp__399,pmegp__415,pmegp__418,pmegp__431,pmegp__46,pmegp__471,pmegp__502,pmegp__515_21,pmegp__53,pmegp__558_19,pmegp__570_23,pmegp__583_79,pmegp__619_14,pmegp__6946_76,pmegp__790_46,pmegp__796_35,pmegp__80,pmegp__81,pmegp__827_26,pmegp__831_42,pmegp__872_22,pmegp__88_63,pmegp__961_93,pmegp__987_34,pmegp__bangalore,pmegp__dakshin_kannad,pmegp__m_m_subsidy,pmegp__no_of_proj,pmegp_outstanding__amt,pmegp_outstanding__no,pmfme__application_submitted_to_bank,pmfme__loan_disbursed,pmfme__loan_rejections,pmfme__loan_sanctions,pmfme__loans_under_process,pmfme__target_in_fy2023_24,pmfme__target_in_fy2024_25,pmfme__target_in_fy2025_26,pmfme__total_application,pmfme__total_application_received,pmfme__total_applications,pmfme__total_loan_disbursed,pmfme__total_loan_rejections,pmfme__total_loan_sanctions,pmfme__total_loan_under_process,pmmy_mudra__102459,pmmy_mudra__116785,pmmy_mudra__1298_44,pmmy_mudra__1303_18,pmmy_mudra__157894,pmmy_mudra__1_1,pmmy_mudra__258_72,pmmy_mudra__258_99,pmmy_mudra__268_15,pmmy_mudra__270_79,pmmy_mudra__3172,pmmy_mudra__321_14,pmmy_mudra__323_96,pmmy_mudra__357_28,pmmy_mudra__357_69,pmmy_mudra__37615,pmmy_mudra__3814,pmmy_mudra__447_58,pmmy_mudra__448_88,pmmy_mudra__51621,pmmy_mudra__620_02,pmmy_mudra__621_53,pmmy_mudra__75998,pmmy_mudra__974_45,pmmy_mudra__978_66,pmmy_mudra__account,pmmy_mudra__amount,pmmy_mudra__bagalkot,uncategorized__1,uncategorized__101,uncategorized__1660,uncategorized__1670,uncategorized__2,uncategorized__5010,uncategorized__5390,uncategorized__93,uncategorized__allotted_bank_based_on_urban_rural_branches,uncategorized__amt_in_lakhs,uncategorized__avg_of_pmjjby_opened_per_gp,uncategorized__avg_of_pmsby_opened_per_gp,uncategorized__bangalore,uncategorized__karnataka,uncategorized__ldm_opinoin_to_open_branch_yes_no,uncategorized__name_of_village,uncategorized__no,uncategorized__no_of_a_c,uncategorized__opened,uncategorized__pmjjby,uncategorized__pmsby,uncategorized__remarks_by_ldms,uncategorized__sourced,uncategorized__taluka_name,uncategorized__total_no_of_gp_updated_in_portal,uncategorized__total_no_of_gps,uncategorized__total_population,uncategorized__village_code
Bagalkote,December 2023,,,,,,,,,,,,22360,,83,,18512,,,,102126,,BAGALKOTE,,,253,BAGALKOTE,54,171,307,82,BAGALKOTE,135,151,343,57,,343,,,,4534.48,8405.59,16532.69,3592.62,115.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,3,250,,,,,416,152,9,171,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,BAGALKOTE,,,,,,,,,,,,,,
Ballari,December 2023,,,,,,,,,,,,26860,,80,,21370,,,,146730,,BALLARI,,,299,BALLARI,18,84,262,160,BALLARI,69,57,222,96,,222,,,,2137.4,3954.01,14974.23,8882.82,92.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,2,200,,,,,183,34,36,37,5,,179849,,,,1.5,399.65,399.93,166.97,167.79,2082,,,,,57976,,656.87,661.13,,,,119791,1223.49,1228.85,,,Bellary,1.2,,,,,,,,,,,,,BALLARI,,,,,,,,,,,,,,
Bengaluru Rural,December 2023,,,,,,,,,,,,24330,,35,,8437,,,,88358,,BENGALURU RURAL,,,293,BENGALURU RURAL,92,205,329,32,BENGALURU RURAL,115,127,247,5,,247,,,,5206.11,9085.25,17061.21,2769.85,101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,21,3,225,,,,,192,54,25,63,13,,91003,,,,1.2,260.09,261.19,118.46,120.87,1492,,,,,24121,,266.89,269.6,,,,65390,645.44,651.66,,,Bangalore Rural,1.5,,,,,,,,,,,,,BENGALURU RURAL,,,,,,,,,,,,,,
Bengaluru Urban,December 2023,,,,,,,,,,,,177330,,32,,56417,,,,536643,,BENGALURU URBAN,,,2230,BENGALURU URBAN,245,184,7323,6894,BENGALURU URBAN,152,96,2831,2583,,2831,,,,11254.14,13194.94,714938.9,690489.82,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,103,11,250,,,,,1027,171,66,204,86,,400482,,,,1.3,899.63,902.3,1715.81,1737.18,12015,,,,,111787,,1389.85,1405.58,,,,276680,4005.29,4045.07,,,Bangalore urban,1.6,,,,,,,,,,,,,BENGALURU URBAN,,,,,,,,,,,,,,
Bidar,December 2023,,,,,,,,,,,,14640,,88,,12836,,,,76466,,BIDAR,,,155,BIDAR,33,107,258,118,BIDAR,110,60,228,58,,228,,,,2470.5,3992.47,9703.44,3240.47,107.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,31,23,225,,,,,415,102,74,123,92,,81729,,,,1.6,191.58,191.78,47.57,48.62,580,,,,,25544,,232.92,233.69,,,,55605,472.07,474.09,,,Bidar,1.7,,,,,,,,,,,,,BIDAR,,,,,,,,,,,,,,
Chikkaballapura,December 2023,,,,,,,,,,,,12960,,56,,7198,,,,51033,,CHIKKABALLAPURA,,,144,CHIKKABALLAPURA,54,177,233,2,CHIKKABALLAPURA,99,70,177,8,,177,,,,2729.97,4277.3,7953.8,946.53,117.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,1,200,,,,,131,30,24,33,10,,82221,,,,1.9,184.85,185.05,70.97,72.25,917,,,,,31081,,364.09,364.88,,,,50223,619.91,622.18,,,Chikkaballapura,1.9,,,,,,,,,,,,,CHIKKABALLAPURA,,,,,,,,,,,,,,
Chikkamagaluru,December 2023,,,,,,,,,,,,21930,,39,,8578,,,,81875,,CHIKKAMAGALURU,,,267,CHIKKAMAGALURU,89,55,230,86,CHIKKAMAGALURU,181,63,304,60,,304,,,,4606.74,3102.75,12364.05,4654.56,93.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,2,225,,,,,186,57,30,60,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,CHIKKAMAGALURU,,,,,,,,,,,,,,
Chitradurga,December 2023,,,,,,,,,,,,18940,,73,,13894,,,,92940,,CHITRADURGA,,,212,CHITRADURGA,41,83,229,105,CHITRADURGA,136,72,258,50,,258,,,,3346.53,4227.87,10641.63,3067.23,110.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,39,8,200,,,,,386,45,59,59,31,,172619,,,,1.11,375.04,375.15,72.49,73.34,984,,,,,68789,,726.95,727.89,,,,102846,1174.48,1176.38,,,Chitradurga,1.1,,,,,,,,,,,,,CHITRADURGA,,,,,,,,,,,,,,
Dakshina Kannada,December 2023,,,,,,,,,,,,47250,,44,,20713,,,,167971,,DAKSHINA KANNADA,,,604,DAKSHINA KANNADA,170,169,833,494,DAKSHINA KANNADA,264,131,646,251,,646,,,,12785.18,6240.84,48269.91,29243.89,71.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,64,3,225,,,,,336,132,39,157,40,,55280,,,,1.12,114.06,114.5,240.96,245.13,2991,,,,,15870,,272.48,275.02,,,,36419,627.5,634.66,,,Dakshina Kannada,1.1,,,,,,,,,,,,,DAKSHINA KANNADA,,,,,,,,,,,,,,
Dharwad,December 2023,,,,,,,,,,,,28660,,66,,18933,,,,118525,,DHARWAD,,,326,DHARWAD,31,44,527,452,DHARWAD,90,42,381,249,,381,,,,3025.92,1641.42,29500.37,24833.03,84.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,79,11,225,,,,,415,158,29,173,56,,160081,,,,1.14,360.67,360.9,226.59,228.85,2763,,,,,50247,,573.86,577.24,,,,107071,1161.12,1166.99,,,Dharwad,1.1,,,,,,,,,,,,,DHARWAD,,,,,,,,,,,,,,
