District,Deposit,Advance,CD ratio Norm 60%,KCC Sanctioned,% of Agri. Advto Nbc 18%,Total Priority Sector Advances,% of PS Advanceto Nbc Norm 40%
Bishnupur,19010.79,16188.51,85,2840.37,24,11374.34,70
Chandel,6993.70,7557.36,108,563.54,3,2047.03,27
Churachandpur,48057.04,31965.46,67,10299.04,13,16078.58,50
Imphal East,71782.83,44132.51,61,2635.79,14,25777.53,58
Imphal West,504111.62,235749.16,47,11162.12,8,129675.09,55
Jiribam,3407.00,485.00,14,14.55,39,368.66,76
Kakching,9127.30,10299.80,113,563.09,17,6951.42,67
Kamjong,626.00,615.24,98,0.00,0,86.33,14
Kangpokpi,11504.75,11756.25,102,664.88,18,4506.79,38
Noney,1439.77,860.19,60,5.97,7,337.98,39
Pherzawl,23.00,0.00,0,0.00,0,0.00,0
Senapati,21188.64,19924.91,94,3675.83,8,8229.26,41
Tamenglong,9865.74,2749.89,28,12.55,33,2490.68,91
Tengnoupal,6813.32,6513.23,96,662.02,14,1748.24,27
Thoubal,22176.68,18708.22,84,4337.80,20,9869.84,53
Ukhrul,17287.69,5435.36,31,132.96,16,3228.29,59
