District,CropP roduction,Water Resources,Farm,Plantation,Animal Husbandry,Fishery,Agri Others,Agri Infrastructure,Anciliary Activities,Agri Total,MSME Term,MSME Working,MSME Total,Export Credit,Education,Housing,Service Others,Social Infra,Services Total
Bishnupur,183.26,0,56,0,20,136.63,0,204.28,15.77,615.94,181.1,1.57,182.67,0,1.01,219.53,0,0,220.54
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64,0,0,0,6.64
Imphal East,302.84,0,9.67,0,21.1,47.5,54.59,0,33.59,469.29,560.44,64.61,625.05,0,7.38,511.51,2.99,0,521.88
Imphal West,295.67,2.9,18.3,3,213.74,139.69,672.01,0,216.76,1562.07,5748.66,470.53,6219.19,0,97.62,1667.29,124.22,0,1889.13
Jiribam,0.18,39.45,1.1,0,4.4,0,0,0,0,45.13,1149.02,0,1149.02,0,0,15,0,0,15
Kakching,346.94,0,0,0,69.5,112.27,0,0,8.71,537.42,77.03,95.66,172.69,0,4,84.19,0,0,88.19
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,84.86,0,0,0,0,0,0,0,6.9,91.76,182.56,36.25,218.81,0,0,62.36,0,0,62.36
Noney,21.21,0,0,0,0,0,0,0,2,23.21,11.8,1.2,13,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,40.12,0,8,0,1.2,0,0,0,9.2,58.52,152.36,10.56,162.92,0,0,172.49,0,0,172.49
Tamenglong,7.2,0,0,0,0,0,0,0,0,7.2,30.06,3,33.06,0,3,30,0,0,33
Tengnoupal,8.28,0,0,0,0,0,3.4,0,0,11.68,55.35,10.4,65.75,0,0,47.53,0,0,47.53
Thoubal,102.89,1,1,1,20.5,0,73.76,0,64.33,264.48,896.9,2.49,899.39,0,1,333.33,0,0,334.33
Ukhrul,2.19,0,0,0,43,0,0,0,1.46,46.65,67,3.84,70.84,0,0,8,0,0,8
