District,PMJDY No.,PMJDY Cumml No.,PMJJBY No.,PMJJBY Cumml No.,PMSBY No.,PMSBY Cumml No.,APY No.,APY Cumml No.
Bishnupur,22434,122633,289,4084,920,10800,31,912
Chandel,10497,19264,24,833,119,2281,21,153
Churachandpur,40603,104423,46,9493,365,13566,137,1514
Imphal East,37172,238672,496,9704,859,36494,595,3116
Imphal West,76532,284544,1536,18111,2026,53859,331,4493
Jiribam,1299,30430,0,646,0,1091,0,0
Kakching,19752,104445,57,1287,305,4662,36,227
Kamjong,1643,1506,0,30,0,56,0,76
Kangpokpi,17218,25289,52,1323,156,3578,42,248
Noney,2987,2518,0,62,0,394,0,26
Pherzawl,179,183,0,0,0,2,0,0
Senapati,24385,50133,32,1662,514,6030,78,287
Tamenglong,1901,55049,1,381,13,1340,0,0
Tengnoupal,5310,17795,5,639,11,1656,3,48
Thoubal,54164,136120,203,3178,351,7749,65,748
Ukhrul,21262,99873,29,1449,126,2890,2,101
