district,Sishu No,Sishu amt,Kishore no,Kishore Amt,Tarun No,Tarun Amt
Bishnupur,301,18.45,66,49.68,5,22.12
Chandel,60,2.91,61,5.39,6,0.54
Churachandpur,99,3.31,82,75.3,24,69.3
Imphal East,203,33.53,109,84.26,55,165.31
Imphal West,27339,53.53,275,285.14,118,229.54
Jiribam,1,0.32,4,5.28,0,0
Kakching,115,7.75,105,77.59,14,37.3
Kamjong,0,0,0,0,0,0
Kangpokpi,17,2.23,82,69.23,8,48.15
Noney,0,0,6,0.66,0,0
Pherzawl,0,0,4,0.04,0,0
Senapati,41,5.15,137,77.7,18,82.94
Tamenglong,2,1,0,0,0,0
Tengnoupal,82,13.25,16,16.7,1,0
Thoubal,57,17.9,61,45.3,3,5.56
Ukhrul,46,2.32,39,19.81,2,9.17
