district,Export Credit,Export Credit,Education (PS),Education (PS),Housing (PS),Housing (PS),Social Infrastruc ture,Social Infrastruct ure,Renewable Energy,Renewable Energy,Informal Credit,Informal Credit,Total
Bishnupur,0,0,3.52,3.52,108.9,108.9,0,0,0,0,2.8,2.8,39
Chandel,0,0,0.11,0.11,25,25,0,0,0,0,0,0,9
Churachandpur,0,0,33.43,33.43,879.12,879.12,1,80,0,0,15,15,137
Imphal East,0,0,58.72,58.72,763.53,763.53,554,148,3.23,3.23,31.7,31.7,978
Imphal West,0,0,126.39,126.39,2321,2321,4,40.05,14.32,14.32,0.09,0.09,749
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,0,0,3.52,3.52,76.45,76.45,0,0,0,0,0,0,26
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0.12,0.12,4.75,4.75,0,0,0,0,0,0,6
Noney,0,0,7.17,7.17,0,0,0,0,0,0,0,0,1
PHERZAWAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,18.09,18.09,103.63,103.63,4,0.38,0,0,3.5,3.5,68
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,83.1,83.1,0,0,0,0,0,0,17
Thoubal,0,0,23.31,23.31,1719.4,1719.4,0,0,0,0,1,1,166
Ukhrul,0,0,0,0,10.5,10.5,0,0,0,0,3.6,3.6,3
