District,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bishnupur,71,56.82,263,317.98,41,40.68,243,330.76
Chandel,2,0.9,7,23.47,26,18.05,380,550.27
Churachandpur,13,27.2,60,130.68,813,417.1,4580,9927.12
Imphal East,56,134.22,194,430.03,117,399.2,1000,2717.25
Imphal West,241,489.05,1104,2747.09,279,612.51,5686,10389.36
Jiribam,136,53.15,788,289.59,106,50.62,749,471.78
Kakching,837,408.37,5035,3984.86,30,38.26,559,634.28
Kamjong,0,0,0,0,0,0,0,0
Kangpokpi,16,52.83,76,173.75,211,216.01,674,1588.42
Noney,5,4.78,18,60.39,169,136.05,744,564.71
Pherzawl,7,2.3,18,76.63,14,30.55,35,126.42
Senapati,12,41.89,44,174.53,406,250.4,1723,2785.54
Tamenglong,6,22,37,75.96,83,119.84,1522,2872.2
Tengnoupal,7,14,57,113.66,120,119.1,802,921.95
Thoubal,644,875.27,1534,3978.63,49,87.01,359,960.65
Ukhrul,3,1.5,5,12.16,206,157.38,1732,2983.29
