district,Bank Name,OS No,OS Amt,Disb No,Disb Amt,OS No,OS Amt,Disb No,Disb Amt
Bishnupur,BOB,9265,7839.89,1571,873.1,9265,7839.89,1571,873.1
Chandel,BOI,1078,3345.88,290,471.15,1078,3345.88,290,471.15
Churachandpur,BOM,4001,7435.69,780,909.77,4001,7435.69,780,909.77
Imphal East,CAN,23597,26158.82,3659,4150.97,23597,26158.82,3659,4150.97
Imphal West,CBI,43918,82298.76,7161,11465.08,43918,82298.76,7161,11465.08
Jiribam,IND,5094,2277.9,766,325.95,5094,2277.9,766,325.95
Kakching,IOB,5830,4343.51,1215,664.16,5830,4343.51,1215,664.16
Kamjong,PNB,81,82.85,27,12.81,81,82.85,27,12.81
Kangpokpi,PSB,682,1323.67,171,298.7,682,1323.67,171,298.7
Noney,SBI,491,399.33,106,95.81,491,399.33,106,95.81
PHERZAWAL,UCO,4,3.32,3,0.46,4,3.32,3,0.46
Senapati,UNI,3637,8958.93,1107,1190.7,3637,8958.93,1107,1190.7
Tamenglong,Total,480,565.47,45,50.8,480,565.47,45,50.8
Tengnoupal,AXIS,972,1527.46,208,359.92,972,1527.46,208,359.92
Thoubal,BANDHAN,12071,8883.52,1728,1431.86,12071,8883.52,1728,1431.86
Ukhrul,HDFC,977,1948.36,159,262.81,977,1948.36,159,262.81
