district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Bishnupur,132,177.56,387,509.12,71,169.07,431,986.23
Chandel,10,53.74,13,75.39,41,62.16,356,580.19
Churachandpur,28,75.64,92,200.74,899,1317.1,5043,10208.22
Imphal East,117,195.63,250,499.11,203,722.39,993,2802.58
Imphal West,297,836.63,1210,2439.5,444,1631.5,5801,11155.96
Jiribam,262,107.38,363,136.53,254,172.73,630,428.45
Kakching,2525,1575.22,7105,7560.99,203,160.12,739,888.55
Kamjong,2,14,3,24.66,3,36.8,5,42.94
Kangpokpi,30,82.44,89,203.1,90,199.39,749,1729.51
Noney,3,13.29,7,30.46,206,189.08,754,572.86
PHERZAWAL,0,0,1,6.72,2,18,4,23.99
Senapati,14,58.5,50,152.49,303,495.98,1891,3092.81
Tamenglong,9,15,36,53,161,391.86,1665,3038.65
Tengnoupal,25,16.02,40,142.37,160,218.91,599,656.39
Thoubal,250,347.28,479,718.4,62,113.21,323,768.8
Ukhrul,6,14.04,28,65.99,313,698.39,1862,3127.83
