District,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt
Bishnupur,0,0,10,13.06,55,274.91,0,0,0,0,1821,1080.88,1886,1368.85
Chandel,0,0,3,2.06,11,62.98,0,0,0,0,6,14.23,20,79.27
Churachandpur,0,0,17,11.29,186,792.68,2,8.22,0,0,145,183.07,350,995.26
Imphal East,0,0,51,113.98,878,1743.34,555,148.1,18,7.23,1932,1199.14,3434,3211.79
Imphal West,0,0,114,247.85,1380,3653.31,4,122.32,26,24.58,2192,1515.02,3716,5563.08
Jiribam,0,0,0,0,3,25,0,0,0,0,1697,865.94,1700,890.94
Kakching,0,0,12,20.9,29,177.75,0,0,0,0,2228,969.72,2269,1168.37
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,1,0.42,5,11.79,0,0,0,0,0,0,6,12.21
Noney,0,0,1,7.17,0,0,0,0,0,0,0,0,1,7.17
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,21,23.57,66,354.79,6,1.82,0,0,116,8.69,209,388.87
Tamenglong,0,0,3,1.72,5,53,0,0,0,0,35,200,43,254.72
Tengnoupal,0,0,0,0,23,192.67,0,0,1,1.6,33,50.47,57,244.74
Thoubal,0,0,8,25.38,236,1997.14,140,42.12,0,0,2127,971.42,2511,3036.06
Ukhrul,0,0,1,0.76,2,17.13,0,0,0,0,149,331.87,152,349.76
