District,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Bishnupur,0,0,21,91.66,318,3388.33,0,0,0,0,273,517.55,612,3997.54
Chandel,0,0,9,21.9,60,623.2,0,0,0,0,15,36.4,84,681.5
Churachandpur,0,0,69,142,655,5984.77,3,43.52,0,0,162,107.74,889,6278.03
Imphal East,0,0,212,880.05,2603,10313.29,555,148.08,789,649.93,274,768.6,4433,12759.95
Imphal West,0,0,405,1766.6,5095,29995.22,5,393.35,895,6555.54,1000,1419.92,7400,40130.63
Jiribam,0,0,1,0.47,8,79.07,0,0,0,0,0,0,9,79.54
Kakching,0,0,60,127.17,353,2061.18,7,77.17,0,0,171,68.75,591,2334.27
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,9,87.39,39,464.13,0,0,0,0,39,48.76,87,600.28
Noney,0,0,1,6.9,0,0,0,0,0,0,0,0,1,6.9
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,63,238.06,136,1887.96,6,32.75,0,0,129,48.27,334,2207.04
Tamenglong,0,0,5,10.24,6,63.47,0,0,0,0,0,0,11,73.71
Tengnoupal,0,0,3,17.55,69,684.03,0,0,1,1.51,31,38.3,104,741.39
Thoubal,0,0,29,103.51,411,4052.27,140,42.12,1,0.1,122,132.22,703,4330.22
Ukhrul,0,0,6,16.27,11,84.1,0,0,0,0,88,29.44,105,129.81
