District,Bank Name,Crop Loan No.,Amt,Forestryandwasteland Dev No.,Water Resource No.,Farmmechanization No.,Plantation & horticulture No.,Animal Husbandry No.,Fishery No.,Farm Credit Others No.,Agri. Infrastructure No.,Ancillaryy Activities No.,Tot Agri (PS) Disb No.
Bishnupur,,165,428.76,0,0,0,0,130,23,10,0,0,328
Chandel,,3,1.2,0,0,0,0,2,0,2,0,0,7
Churachandpur,,203,290.26,0,0,0,0,9,0,49,0,9,270
Imphal East,,30,800.55,0,0,1,0,134,4,240,9,15,433
Imphal West,,128,3958.75,0,0,6,0,86,40,721,0,40,1021
Jiribam,,0,19.25,0,0,0,0,0,0,7,0,3,10
Kakching,,1,135.5,0,0,0,0,4,88,14,0,18,125
Kamjong,,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,34,97.15,0,0,0,0,0,2,26,0,0,62
Noney,,1,0.08,0,0,0,0,0,0,0,0,0,1
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,166,77.5,0,0,0,0,5,0,0,0,5,176
Tamenglong,,0,2,0,0,0,0,0,0,0,0,1,1
Tengnoupal,,29,46.25,0,0,0,0,7,0,6,0,0,42
Thoubal,,490,948.24,0,0,4,0,66,4,33,0,35,632
Ukhrul,,4,71.39,0,0,0,0,3,0,1,0,19,27
