District,KCCsfor AH and Allied Activities No.,KCCsfor AH and Allied Activities Amt,Farm Production A/C,Farm Productionamt,Dairyno,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries No.,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC- Agri O/S No.,Total IC- Agri O/S Amt
Bishnupur,183,208.26,0,0,26,33.81,68,108.17,49,111.2,365,969.15,0,0,0,0,332,382.47,1023,1813.06
Chandel,19,24.32,0,0,0,0,3,11.91,3,13.54,0,0,0,0,0,0,0,0,25,49.77
Churachandpur,147,317.88,0,0,171,89.29,22,32.74,17,21.28,14,50.82,0,0,0,0,307,221.31,678,733.32
Imphal East,649,320.97,0,0,104,303.26,50,131.32,179,235.48,46,261.4,0,0,2,5.79,529,987.56,1559,2245.78
Imphal West,475,382.19,6,93.45,111,319.42,89,217.79,503,1264.32,269,754.11,0,0,4,24.12,2865,4702.65,4322,7758.05
Jiribam,1,1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,4,0.56,6,1.66
Kakching,206,132.98,0,0,4,3.83,98,101.49,17,30.03,171,390.66,0,0,0,0,181,251.5,677,910.49
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,32,67.6,0,0,17,36.19,8,30.68,19,19.32,6,20.29,2,0.5,0,0,139,232.06,223,406.64
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,65,28.45,0,0,4,7.1,1,3.12,5,3.9,1,0.28,0,0,0,0,10,10.57,86,53.42
Tamenglong,8,11,0,0,10,10.6,2,0.05,5,4.95,0,0,0,0,0,0,89,43.21,114,69.81
Tengnoupal,12,12.03,0,0,0,0,2,5.34,0,0,1,0.1,0,0,0,0,23,21.51,38,38.98
Thoubal,315,212.61,0,0,74,133.46,87,122.87,179,308.79,58,253.1,0,0,0,0,437,536.36,1150,1567.19
Ukhrul,4,6.15,0,0,8,8.43,3,0.35,11,10.83,1,1.52,0,0,0,0,197,287.57,224,314.85
