district,Bank Name,Small and Marginal Farmers No,Amt,Scheduled Castes No,Amt,Scheduled Tribes No,Amt,DRI scheme No,Amt,Self Help Groups No,Amt,women beneficiaries No,Amt,Minority communities No,Amt,PMJDY No,Amt,Others No,Amt,Tot Weaker Sec O/S No,Amt
Bishnupur,,4058,5041.94,353,5041.94,155,5041.94,8,5041.94,240,5041.94,904,5041.94,343,5041.94,0,5041.94,574,5041.94,6635,5041.94
Chandel,,63,1202.15,0,1202.15,299,1202.15,0,1202.15,1,1202.15,49,1202.15,312,1202.15,0,1202.15,16,1202.15,740,1202.15
Churachandpur,,3882,16882.39,17,16882.39,2000,16882.39,11,16882.39,15,16882.39,956,16882.39,2998,16882.39,27,16882.39,108,16882.39,10014,16882.39
Imphal East,,4407,11101.79,64,11101.79,261,11101.79,6,11101.79,225,11101.79,5689,11101.79,614,11101.79,45,11101.79,3208,11101.79,14519,11101.79
Imphal West,,16080,39077.81,542,39077.81,1334,39077.81,11,39077.81,259,39077.81,5800,39077.81,1579,39077.81,332,39077.81,5576,39077.81,31513,39077.81
Jiribam,,578,708.03,737,708.03,545,708.03,0,708.03,0,708.03,0,708.03,0,708.03,0,708.03,0,708.03,1860,708.03
Kakching,,2311,5966.74,4800,5966.74,251,5966.74,0,5966.74,130,5966.74,508,5966.74,73,5966.74,0,5966.74,391,5966.74,8464,5966.74
Kamjong,,0,986.35,0,986.35,0,986.35,0,986.35,0,986.35,34,986.35,89,986.35,1,986.35,12,986.35,136,986.35
Kangpokpi,,475,4608.41,83,4608.41,1247,4608.41,0,4608.41,108,4608.41,230,4608.41,589,4608.41,0,4608.41,159,4608.41,2891,4608.41
Noney,,437,1649.32,1,1649.32,699,1649.32,0,1649.32,3,1649.32,184,1649.32,747,1649.32,0,1649.32,0,1649.32,2071,1649.32
PHERZAWAL,,6,23.49,0,23.49,0,23.49,0,23.49,0,23.49,2,23.49,16,23.49,0,23.49,0,23.49,24,23.49
Senapati,,2308,10802.46,2,10802.46,701,10802.46,5,10802.46,141,10802.46,824,10802.46,2188,10802.46,5,10802.46,49,10802.46,6223,10802.46
Tamenglong,,1723,3479,0,3479,25,3479,54,3479,0,3479,1,3479,293,3479,0,3479,53,3479,2149,3479
Tengnoupal,,594,2083.95,7,2083.95,516,2083.95,0,2083.95,23,2083.95,121,2083.95,530,2083.95,1,2083.95,49,2083.95,1841,2083.95
Thoubal,,3695,6180.41,144,6180.41,120,6180.41,0,6180.41,107,6180.41,3703,6180.41,1015,6180.41,316,6180.41,119,6180.41,9219,6180.41
Ukhrul,,1851,4639.54,0,4639.54,928,4639.54,0,4639.54,78,4639.54,36,4639.54,319,4639.54,0,4639.54,38,4639.54,3250,4639.54
