district,NRLM O/S No,Amt,NRLM No,NULM O/S No,NULM No,PMEGP O/S No,PMEGP NPA No,SHG O/S No,SHG NPA No,SUI O/S No,SUI NPA No
Bishnupur,42,0,18,4,4,686,377,338,117,0,0
Chandel,3,0,0,0,0,218,120,3,0,0,0
Churachandpur,168,0,13,7,6,504,198,187,159,26,0
Imphal East,670,71.55,60,5,0,901,343,315,58,35,3
Imphal West,79,500.9,16,198,32,1051,468,394,109,94,31
Jiribam,0,0,0,8,2,31,4,1,1,0,0
Kakching,9,5.25,0,1,1,251,141,54,30,5,1
Kamjong,0,0,0,0,0,47,18,0,0,0,0
Kangpokpi,7,0,0,0,0,167,45,42,0,0,0
Noney,0,0,0,0,0,34,23,74,42,0,0
Pherzawl,0,0,0,0,0,10,5,0,0,0,0
Senapati,25,4.69,1,1,0,692,367,53,12,28,1
Tamenglong,4,0,0,4,3,287,115,9,7,0,0
Tengnoupal,164,0,1,0,0,78,26,82,3,0,0
Thoubal,233,16.16,23,5,4,614,182,400,153,21,1
Ukhrul,9,0,0,65,59,389,243,86,65,0,0
