district,Bank Name,KCCs for AH No,Amt,Farm No,Amt,Dairy No,Amt,Farm No,Amt,Poultry No,Amt,fisheries No,Amt,Godown No,Amt,Clinic No,Amt,Other No,Amt,Total IC-Agri No,Amt
Bishnupur,,794,5809.45,68,5809.45,65,5809.45,68,5809.45,1073,5809.45,627,5809.45,0,5809.45,0,5809.45,963,5809.45,3590,5809.45
Chandel,,24,55.6,3,55.6,0,55.6,3,55.6,5,55.6,0,55.6,0,55.6,0,55.6,0,55.6,32,55.6
Churachandpur,,280,1659.12,21,1659.12,187,1659.12,21,1659.12,175,1659.12,188,1659.12,0,1659.12,0,1659.12,451,1659.12,1302,1659.12
Imphal East,,642,2277.45,34,2277.45,96,2277.45,34,2277.45,197,2277.45,55,2277.45,0,2277.45,2,2277.45,417,2277.45,1472,2277.45
Imphal West,,539,5959.04,69,5959.04,92,5959.04,69,5959.04,669,5959.04,287,5959.04,0,5959.04,0,5959.04,1506,5959.04,3202,5959.04
Jiribam,,0,0.5,1,0.5,0,0.5,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,3,0.5,4,0.5
Kakching,,44,292.64,4,292.64,4,292.64,4,292.64,19,292.64,79,292.64,0,292.64,0,292.64,16,292.64,166,292.64
Kamjong,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,13,225.15,2,225.15,21,225.15,2,225.15,34,225.15,5,225.15,1,225.15,0,225.15,82,225.15,158,225.15
Noney,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHERZAWAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,76,150.45,2,150.45,5,150.45,2,150.45,6,150.45,1,150.45,0,150.45,0,150.45,4,150.45,94,150.45
Tamenglong,,184,738.84,94,738.84,10,738.84,94,738.84,6,738.84,94,738.84,0,738.84,0,738.84,271,738.84,659,738.84
Tengnoupal,,18,36.87,1,36.87,0,36.87,1,36.87,0,36.87,0,36.87,0,36.87,0,36.87,15,36.87,34,36.87
Thoubal,,350,2380.26,80,2380.26,82,2380.26,80,2380.26,423,2380.26,113,2380.26,0,2380.26,0,2380.26,469,2380.26,1517,2380.26
Ukhrul,,7,382.48,3,382.48,8,382.48,3,382.48,12,382.48,4,382.48,0,382.48,0,382.48,200,382.48,234,382.48
