District,Smalland Marginal Farmers No.,Amt,Scheduled Castes No.,Scheduled Tribes No.,DRI scheme No.,Self Help Groups No.,womenbeneficiaries No.,Minoritycommunities No.,PMJDY No.,Others No.,Tot Weaker Sec O/S No.
Bishnupur,7910,10692.78,372,159,8,572,3470,541,0,3000,16032
Chandel,72,1256.9,3,300,0,1,77,347,0,13,813
Churachandpur,4077,18538.41,28,2457,11,94,1452,3200,17,-344,10992
Imphal East,5293,15160.08,110,473,2,746,8645,797,48,6207,22321
Imphal West,17280,61165.86,441,1525,36,624,9562,1617,339,13133,44557
Jiribam,388,1056.3,200,249,0,0,0,0,0,2326,3163
Kakching,2245,4673.05,3847,209,0,151,828,81,0,624,7985
Kamjong,0,93.84,0,0,0,0,31,83,1,8,123
Kangpokpi,512,3431.41,61,712,0,24,137,446,0,-26,1866
Noney,447,1721.78,1,687,0,74,318,744,0,4,2275
Pherzawl,7,32.19,0,0,0,0,1,19,0,0,27
Senapati,2316,10174.6,2,760,5,140,808,2258,5,58,6352
Tamenglong,1713,4276.97,0,269,56,1,109,407,0,219,2774
Tengnoupal,626,2162.65,10,550,0,130,245,483,2,52,2098
Thoubal,5729,10670.49,124,141,0,586,5470,1845,314,4070,18279
Ukhrul,1808,4451.16,0,884,0,71,136,307,0,32,3238
