District,Current Year No. of Female Account,Current Year Sumof Female Amt,Current Year No. of Male Accountto SC,Current Year Sumof Male Amountto SC,Current Year No. of Male Accountto ST,Current Year Sumof Male Amountto ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Pct
Bishnupur,2,54.6,0,0,0,0,2,54.6,2,53.09,0,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,4,21,0,0,10,249.65,14,270.65,33,571.78,0,0,0
Imphal East,14,227.13,6,5.22,4,15.26,24,247.61,47,570.28,3,40.73,7.14
Imphal West,20,393,8,106.94,8,124.87,36,624.81,89,1338.46,16,142.54,10.65
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,3,44.11,0,0,0,0,3,44.11,11,98.59,1,4.07,4.13
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,1,40,0,0,1,18,2,58,6,125.78,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,6,93.62,0,0,8,191.96,14,285.58,27,470.57,0,0,0
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,2,65,0,0,0,0,2,65,20,118.97,1,14.86,12.49
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0
