District,Crop Loan No.,Amt,Forestry And Wasteland Dev. No.,Water Resource No.,Farm Mechanization No.,Plantation & horticulture No.,Animal Husbandry No.,Fishery No.,Farm Credit Others No.,Agri. Infrastructure No.,Ancillary Activities No.,Total Agri (PS) Disb No.
Bishnupur,453,1646.3,23,0,0,0,15,28,324,0,94,937
Chandel,8,10.03,0,0,0,0,0,1,0,0,0,9
Churachandpur,215,409.88,0,0,0,0,4,7,69,0,5,300
Imphal East,502,2586.33,68,0,85,0,104,6,384,0,43,1192
Imphal West,2748,14268.14,74,0,5,0,58,21,667,4,111,3688
Jiribam,4,30.81,0,0,0,0,4,0,1,4,0,13
Kakching,47,494.06,0,0,0,0,26,34,136,1,45,289
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,26,41.36,0,0,0,0,6,0,3,0,0,35
Noney,2,26.79,0,0,0,0,0,0,13,0,1,16
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,125,112.65,1,0,8,0,0,0,21,0,1,156
Tamenglong,14,29.46,0,0,0,0,8,0,1,0,1,24
Tengnoupal,6,51.18,0,0,0,0,0,0,13,0,0,19
Thoubal,835,2350.87,38,0,11,0,48,5,465,0,22,1424
Ukhrul,37,113.73,0,0,0,0,1,1,28,0,0,67
