district,Micro TL No,Amt,Micro WC No,Small TL No,Small WC No,Medium TL No,Medium WC No,KVIC No,Othersunder No,CLF No,Tot MSME (PS) Disb No
Bishnupur,154,823.61,34,2,2,0,0,0,0,,191
Chandel,40,12.57,3,0,0,0,0,0,0,,43
Churachandpur,195,4324.49,88,4,15,1,0,1,0,,304
Imphal East,474,4101.06,121,11,15,1,0,7,1,,587
Imphal West,1160,38453.55,424,141,67,10,3,21,1,,1750
Jiribam,6,99.37,2,1,1,0,0,0,0,,10
Kakching,332,1926.23,20,23,20,1,0,0,0,,396
Kamjong,2,14.98,1,0,0,0,0,0,0,,3
Kangpokpi,72,425.19,17,5,0,0,0,0,0,,93
Noney,5,27.53,3,0,0,0,0,0,1,,9
Pherzawl,0,0,0,0,0,0,0,0,0,,0
Senapati,97,842.93,55,6,4,0,0,1,1,,154
Tamenglong,15,121.58,13,3,1,0,0,0,0,,32
Tengnoupal,70,53.55,6,0,0,0,0,0,0,,76
Thoubal,303,1770.16,67,2,6,0,2,0,0,,320
Ukhrul,84,300.56,13,0,0,0,0,1,1,,99
