District,Bank Name,Agriculture (NPS) No.,Amt,Msme (NPS) No.,Exp Credit (NPS) No.,Education (NPS) No.,Housing (NPS) No.,Personal Loansunder NPS No.,Others NPS No.,Total Acp (NPS) No.
Bishnupur,,0,3569.52,0,0,0,33,175,1297,1505
Chandel,,0,1041.89,0,0,0,8,19,137,164
Churachandpur,,0,6191.68,0,0,1,81,273,840,1195
Imphal East,,1,12249.57,0,0,2,87,618,2787,3495
Imphal West,,0,47033.88,0,0,20,323,3608,5057,9008
Jiribam,,0,531.63,0,0,0,2,20,39,61
Kakching,,0,2035.04,0,0,0,18,201,280,499
Kamjong,,0,40.08,0,0,0,0,1,5,6
Kangpokpi,,0,1280.07,0,0,2,10,58,136,206
Noney,,0,140.07,0,0,0,0,4,18,22
Pherzawl,,0,0,0,0,0,0,0,0,0
Senapati,,0,3241.3,0,0,0,33,87,641,761
Tamenglong,,0,1583.13,0,0,0,1,160,62,223
Tengnoupal,,0,556.77,0,0,0,1,19,91,111
Thoubal,,0,6003.69,0,0,0,50,247,2084,2381
Ukhrul,,0,2161.23,0,0,0,1,127,232,360
