District,Sanctioned No.,ofwhichgirlstudent Sanctioned No.,Sanctioned Amt,ofwhichgirlstudent Sanctioned Amt,Disb. Number,ofwhichgirlstudent Disb No.,Disb. Amt,ofwhichgirlstudent Disb Amt,OS No.,ofwhichgirlstudent OS No.,OS amt,ofwhichgirlstudent OS Amt
Bishnupur,4,2,4.42,3.01,3,3,4.33,3.68,20,12,77.76,17.48
Chandel,1,1,0.55,0.55,2,1,2.42,0.55,6,5,22.24,14.02
Churachandpur,3,2,3.71,2.8,4,2,3.65,2.33,68,50,206.77,154.61
Imphal East,12,9,30.62,25.04,19,10,37.5,29.82,126,64,626.61,339.08
Imphal West,81,28,561.72,233.3,135,64,390.8,193.17,634,287,3112.2,1566.64
Jiribam,0,0,0,0,0,0,0,0,1,1,0.57,0.57
Kakching,0,1,0.75,0,3,3,2.9,0.76,23,12,73.02,30.68
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,1,1,1.2,1.2,4,2,11.35,7.55,20,13,141.02,90.18
Noney,0,0,0,0,0,0,0,0,1,1,5.56,5.56
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,5,2,7.45,3.36,53,26,203.46,109.85
Tamenglong,0,0,0,0,3,3,1.07,1.07,9,7,23.44,16.75
Tengnoupal,0,0,0,0,0,0,0,0,5,1,24.22,14.75
Thoubal,28,10,80.64,21.01,9,6,10.08,6.15,58,21,216.54,90.19
Ukhrul,1,1,2,2,1,1,1.49,1.49,4,5,13.85,7.53
