district,Export No,Amt,Education PS No,Housing PS No,Social Infra No,Renewable No,Other PS No,OPS Total O/S No
Bishnupur,0,4817.22,26,412,0,0,3790,4228
Chandel,0,732.28,7,56,0,0,55,118
Churachandpur,0,4107.08,70,350,0,0,198,618
Imphal East,0,9629.17,122,1275,1,0,10511,11909
Imphal West,0,26457.69,596,3030,3,1,5317,8947
Jiribam,0,262,1,3,0,0,1126,1130
Kakching,0,2796.27,25,131,1,0,2870,3027
Kamjong,0,0,0,0,0,0,0,0
Kangpokpi,0,1049.98,16,76,0,0,70,162
Noney,0,67.34,1,2,0,0,0,3
Pherzawl,0,0,0,0,0,0,0,0
Senapati,0,2473.21,53,145,0,0,397,595
Tamenglong,0,94.34,9,7,0,0,0,16
Tengnoupal,0,655.06,5,45,0,0,4,54
Thoubal,0,6426.8,56,364,0,0,8415,8835
Ukhrul,0,312.46,7,12,0,0,267,286
