district,Bank Name,Agriculture (NPS) No,Amt,MSME (NPS) No,Amt,Exp Credit No,Amt,Education (NPS) No,Amt,Housing (NPS) No,Amt,Personal Loans under NPS No,Amt,Others NPS No,Amt,Total ACP (NPS) No,Amt
Bishnupur,,0,7777.75,0,7777.75,0,7777.75,0,7777.75,60,7777.75,538,7777.75,1894,7777.75,2492,7777.75
Chandel,,0,3986.74,0,3986.74,0,3986.74,0,3986.74,17,3986.74,58,3986.74,448,3986.74,523,3986.74
Churachandpur,,0,18032.1,0,18032.1,0,18032.1,2,18032.1,137,18032.1,587,18032.1,3449,18032.1,4175,18032.1
Imphal East,,1,26008.64,0,26008.64,0,26008.64,8,26008.64,176,26008.64,1330,26008.64,4325,26008.64,5840,26008.64
Imphal West,,4,112237.5,0,112237.5,0,112237.5,45,112237.5,717,112237.5,7652,112237.5,12848,112237.5,21266,112237.5
Jiribam,,0,1310.08,0,1310.08,0,1310.08,0,1310.08,3,1310.08,53,1310.08,92,1310.08,148,1310.08
Kakching,,0,6129.93,0,6129.93,0,6129.93,0,6129.93,59,6129.93,675,6129.93,646,6129.93,1380,6129.93
Kamjong,,0,228.39,0,228.39,0,228.39,0,228.39,0,228.39,17,228.39,25,228.39,42,228.39
Kangpokpi,,0,4931.03,0,4931.03,0,4931.03,2,4931.03,20,4931.03,160,4931.03,465,4931.03,647,4931.03
Noney,,0,426.27,0,426.27,0,426.27,0,426.27,0,426.27,23,426.27,43,426.27,66,426.27
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,0,8056.03,0,8056.03,0,8056.03,0,8056.03,64,8056.03,217,8056.03,1143,8056.03,1424,8056.03
Tamenglong,,0,3431.07,0,3431.07,0,3431.07,0,3431.07,3,3431.07,291,3431.07,100,3431.07,394,3431.07
Tengnoupal,,0,2054.38,0,2054.38,0,2054.38,0,2054.38,8,2054.38,75,2054.38,220,2054.38,303,2054.38
Thoubal,,0,12329.79,0,12329.79,0,12329.79,0,12329.79,119,12329.79,552,12329.79,3058,12329.79,3729,12329.79
Ukhrul,,0,5874.31,0,5874.31,0,5874.31,0,5874.31,4,5874.31,305,5874.31,466,5874.31,775,5874.31
