District,Farm Credit No.,Amt,Farm Credit Term Loan No.,Agri Infra No.,Ancillaryy No.,Agri Total O/S No.
Bishnupur,6633,11663.4,3797,5,847,11282
Chandel,196,194.28,36,0,18,250
Churachandpur,2265,5257.94,2109,2,79,4455
Imphal East,3003,13145.9,5501,14,1328,9846
Imphal West,13726,47826.95,8770,75,1521,24092
Jiribam,69,158.12,47,1,33,150
Kakching,1262,5349.35,2020,8,299,3589
Kamjong,59,71.76,3,0,7,69
Kangpokpi,1100,1485.41,166,0,38,1304
Noney,185,662.26,419,0,25,629
Pherzawl,0,0,0,0,0,0
Senapati,2162,1973.9,218,1,114,2495
Tamenglong,159,243.18,122,0,25,306
Tengnoupal,216,912.27,525,0,20,761
Thoubal,3398,11602.31,4808,9,567,8782
Ukhrul,566,1022.18,287,1,45,899
