District,Crop Loan No.,Amt,Forestry And Wasteland Dev. No.,Water Resource No.,Farm Mechanization No.,Plantation & horticulture No.,Animal Husbandry No.,Fishery No.,Farm Credit Others No.,Agri. Infrastructure No.,Ancillaryy Activities No.,Tot Agri (PS) Disb No.
Bishnupur,3405,7908.38,117,0,454,0,95,63,1340,0,197,5671
Chandel,15,37,0,0,8,0,46,1,1,0,0,71
Churachandpur,489,1092.39,0,0,28,0,144,6,80,1,59,807
Imphal East,1089,9752.65,229,0,1775,0,189,5,1313,1,502,5103
Imphal West,2815,34841,290,0,2190,2,298,49,4362,29,574,10609
Jiribam,5,22.33,0,0,0,0,6,3,2,0,0,16
Kakching,523,2742.94,0,0,1,0,223,119,553,0,91,1510
Kamjong,34,57.88,0,0,0,0,0,0,0,0,25,59
Kangpokpi,85,341.2,0,0,0,0,40,0,143,0,14,282
Noney,38,90.14,0,0,0,0,1,0,15,0,4,58
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,702,868.09,2,0,16,0,41,3,115,0,29,908
Tamenglong,34,60.87,0,0,4,0,25,3,4,0,2,72
Tengnoupal,22,216.46,0,0,0,0,21,1,55,0,11,110
Thoubal,1173,8994.61,183,0,1258,1,127,63,2207,6,230,5248
Ukhrul,153,243.63,0,0,3,0,51,1,23,0,1,232
