district,Bank Name,Micro TL No,Amt,Micro WC No,Amt,Small TL No,Amt,Small WC No,Amt,Medium TL No,Amt,Medium WC No,Amt,KVIC No,Amt,Others under MSMEs No,Amt,CLF No,Amt,Tot MSME (PS) Disb No,Amt
Bishnupur,,834,2441.93,110,2441.93,8,2441.93,2,2441.93,0,2441.93,0,2441.93,5,2441.93,0,2441.93,13,2441.93,972,2441.93
Chandel,,118,199.34,17,199.34,0,199.34,0,199.34,0,199.34,0,199.34,0,199.34,1,199.34,0,199.34,136,199.34
Churachandpur,,467,4714.11,140,4714.11,14,4714.11,11,4714.11,1,4714.11,0,4714.11,10,4714.11,0,4714.11,12,4714.11,655,4714.11
Imphal East,,1056,11644.59,522,11644.59,30,11644.59,26,11644.59,4,11644.59,0,11644.59,6,11644.59,0,11644.59,25,11644.59,1581,11644.59
Imphal West,,2884,73303.14,939,73303.14,210,73303.14,89,73303.14,13,73303.14,2,73303.14,47,73303.14,1,73303.14,123,73303.14,4308,73303.14
Jiribam,,20,166.24,6,166.24,2,166.24,2,166.24,0,166.24,0,166.24,0,166.24,0,166.24,0,166.24,30,166.24
Kakching,,643,3345.09,105,3345.09,29,3345.09,11,3345.09,1,3345.09,0,3345.09,0,3345.09,1,3345.09,17,3345.09,807,3345.09
Kamjong,,9,18.98,3,18.98,0,18.98,0,18.98,0,18.98,0,18.98,1,18.98,0,18.98,0,18.98,13,18.98
Kangpokpi,,146,1166.11,39,1166.11,4,1166.11,3,1166.11,0,1166.11,0,1166.11,0,1166.11,4,1166.11,1,1166.11,197,1166.11
Noney,,19,164.14,25,164.14,0,164.14,0,164.14,0,164.14,0,164.14,0,164.14,0,164.14,0,164.14,44,164.14
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,322,2351.94,110,2351.94,8,2351.94,3,2351.94,0,2351.94,0,2351.94,2,2351.94,3,2351.94,2,2351.94,450,2351.94
Tamenglong,,51,352.39,31,352.39,5,352.39,2,352.39,0,352.39,0,352.39,0,352.39,0,352.39,0,352.39,89,352.39
Tengnoupal,,184,264.99,99,264.99,1,264.99,0,264.99,1,264.99,0,264.99,0,264.99,0,264.99,0,264.99,285,264.99
Thoubal,,537,4326.52,400,4326.52,7,4326.52,9,4326.52,1,4326.52,2,4326.52,29,4326.52,12,4326.52,14,4326.52,1011,4326.52
Ukhrul,,283,961.1,41,961.1,1,961.1,1,961.1,0,961.1,0,961.1,3,961.1,0,961.1,14,961.1,343,961.1
