district,Bank Name,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenti cated SB accounts,RuPay card issued in KCC,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenti cated SB accounts,RuPay card issued in KCC
CCHHAUNRDAECL,BOI,1,4933,2949,21233,3,1,4933,2949,21233,3
IHMAPNHDAPLUE,BOM,196,33389,25700,141591,905,196,33389,25700,141591,905
IMPHAASTL,CAN,1976,34598,33763,166492,1149,1976,34598,33763,166492,1149
KANGPOG,PNB,1,1207,1207,3195,0,1,1207,1207,3195,0
KJAIRKICBHAIMN,IND,0,3622,68,2533,24,0,3622,68,2533,24
KPI,PSB,45,13293,17656,48053,530,45,13293,17656,48053,530
Kamjong,IOB,3,20849,17510,71220,765,3,20849,17510,71220,765
PNHOENRZEAY,SBI,0,5606,4552,7100,89,0,5606,4552,7100,89
SENAPWATL,UCO,0,0,0,0,0,0,0,0,0,0
TAMENGI,UNI,3,14313,9890,66999,272,3,14313,9890,66999,272
TENLGONNOG,Total,0,6561,1782,4006,6,0,6561,1782,4006,6
Thoubal,BAND,27,39369,31260,140051,1031,27,39369,31260,140051,1031
UPAL,AXIS,147,5638,4922,21469,77,147,5638,4922,21469,77
UR,BOB,7,46659,34323,166922,2259,7,46659,34323,166922,2259
Ukhrul,HDFC,2,14185,9462,43596,110,2,14185,9462,43596,110
WEST,CBI,3228,83611,98358,372758,2738,3228,83611,98358,372758,2738
