District,Bank Name,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisation No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC- Agri Disb No.
Bishnupur,,303,5300.42,0,28,20,977,527,0,0,814,2669
Chandel,,118,110.39,0,0,0,19,1,0,0,1,139
Churachandpur,,416,1469.31,0,110,11,111,39,0,0,631,1318
Imphal East,,479,8709.01,9,103,396,2388,180,0,0,998,4553
Imphal West,,1031,16400.2,12,336,48,3231,369,0,2,2105,7134
Jiribam,,18,44.24,0,1,0,2,1,0,0,3,25
Kakching,,381,1872.03,0,7,3,33,278,0,0,214,916
Kamjong,,0,73.7,0,0,0,2,0,0,0,72,74
Kangpokpi,,108,379.14,0,16,0,35,2,0,0,135,296
Noney,,1,100.48,0,0,0,1,0,0,0,74,76
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,103,409.61,0,4,46,16,2,0,0,147,318
Tamenglong,,83,163.79,0,8,2,20,2,0,0,89,204
Tengnoupal,,56,75.96,0,0,0,1,1,0,0,26,84
Thoubal,,374,7595.51,0,30,95,2735,102,0,0,826,4162
Ukhrul,,33,389.68,0,9,0,21,1,0,0,287,351
