District,Smalland Marginal Farmers No.,Smalland Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,womenbeneficiaries No.,womenbeneficiaries Amt,Minoritycommunities No.,Minoritycommunities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt
Bishnupur,9644,9443.23,754,755.47,92,165.41,0,0,484,441.82,5039,1646,575,684.59,40,1.33,773,1359.4,17401,14497.25
Chandel,155,81.88,2,2.29,358,455.29,0,0,1,0,117,48.29,385,820.77,0,0,43,50.11,1061,1458.63
Churachandpur,4085,11346.38,33,57.74,2977,6952.32,0,0,253,298.89,1025,442.69,3256,10131.58,249,0.17,102,174.89,11980,29404.66
Imphal East,6943,9206.31,113,180.31,773,3710.63,1,0.15,926,1087.93,11193,2852.52,777,2581.63,81,1.6,949,1276.1,21756,20897.21
Imphal West,24334,44036.37,602,1526.32,1892,7802.17,6,0.45,822,838.6,11770,3733.39,1397,7907.61,2624,58.94,1401,3319.1,44848,69222.94
Jiribam,184,461.93,14,7.58,22,9.74,0,0,62,52.28,2658,1736.57,1,0.18,0,0,0,0,2941,2268.28
Kakching,2825,5229.79,1516,3133.56,149,221.46,0,0,291,263.37,903,318.3,110,187.32,0,0,84,241.43,5878,9595.23
Kamjong,0,0,0,0,0,0,0,0,0,0,3,1.08,21,31.8,0,0,1,0.11,25,32.99
Kangpokpi,1104,1626.68,105,403.66,1030,2385.85,0,0,35,23.94,291,148.9,941,2997.57,0,0,19,18.27,3525,7604.87
Noney,262,229.32,4,6.71,775,850.51,2,0.17,59,53.38,278,147.77,329,484.41,1,0,1,1.85,1711,1774.12
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2725,3831.91,0,0,878,1468.85,0,0,87,200.68,1125,908.52,2415,5992.47,0,0,70,130.25,7300,12532.68
Tamenglong,1702,7895.08,0,0,219,430.15,20,1.33,5,7.68,92,33.7,423,1208.51,4,0,3,7.4,2468,9583.85
Tengnoupal,585,1338.33,16,51.38,1040,1238.63,0,0,188,235.77,433,247.87,325,512.95,3,0.1,75,172.56,2665,3797.59
Thoubal,7972,10108.42,231,338.84,197,448.63,1,0.15,860,1008.18,7537,1817.69,1255,1420.93,203,3.84,489,569.71,18745,15716.39
Ukhrul,1805,7290.5,0,0,1304,1716.15,0,0,74,57.63,232,117.69,204,598.49,0,0,99,67.91,3718,9848.37
