district,Bank Name,NRLM O/S No,Amt,NRLM Irregular No,Amt,NRLM NPA No,Amt,NULM O/S No,Amt,NULM NPA No,Amt,PMEGP O/S No,Amt,PMEGP NPA No,Amt,SHG O/S No,Amt,SHG NPA No,Amt,SUI O/S No,Amt,SUI NPA No,Amt
Bishnupur,,144,15.09,5,15.09,11,15.09,18,15.09,0,15.09,631,15.09,324,15.09,333,15.09,51,15.09,4,15.09,1,15.09
Chandel,,2,0,0,0,2,0,0,0,0,0,274,0,105,0,2,0,2,0,0,0,0,0
Churachandpur,,269,53.46,28,53.46,27,53.46,17,53.46,4,53.46,366,53.46,206,53.46,249,53.46,105,53.46,39,53.46,2,53.46
Imphal East,,896,79.66,6,79.66,14,79.66,14,79.66,1,79.66,855,79.66,303,79.66,252,79.66,23,79.66,41,79.66,7,79.66
Imphal West,,649,317.99,14,317.99,5,317.99,52,317.99,20,317.99,1444,317.99,665,317.99,240,317.99,74,317.99,101,317.99,24,317.99
Jiribam,,64,0,7,0,0,0,4,0,2,0,12,0,8,0,12,0,1,0,0,0,0,0
Kakching,,185,0,21,0,2,0,12,0,7,0,232,0,109,0,54,0,13,0,13,0,0,0
Kamjong,,0,0,0,0,0,0,0,0,0,0,37,0,26,0,0,0,0,0,0,0,0,0
Kangpokpi,,18,0,1,0,0,0,0,0,0,0,248,0,111,0,10,0,0,0,10,0,0,0
Noney,,40,0,0,0,7,0,0,0,0,0,32,0,13,0,39,0,8,0,0,0,0,0
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,22,86.64,0,86.64,0,86.64,4,86.64,1,86.64,558,86.64,257,86.64,114,86.64,1,86.64,38,86.64,4,86.64
Tamenglong,,1,0,0,0,0,0,3,0,2,0,183,0,96,0,13,0,6,0,0,0,0,0
Tengnoupal,,196,0,10,0,3,0,0,0,0,0,85,0,50,0,20,0,1,0,0,0,0,0
Thoubal,,693,0,7,0,100,0,84,0,2,0,609,0,275,0,285,0,57,0,3,0,0,0
Ukhrul,,2,0,0,0,0,0,21,0,15,0,337,0,174,0,32,0,15,0,0,0,0,0
