District,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligibleunder PMAY O/S No.,Housing Loan Eligibleunder PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bishnupur,388,3291.03,431,7616.68,6,293.9,0,0,0,0,0,0
Chandel,52,655.47,102,1561.66,84,1823.3,0,0,0,0,0,0
Churachandpur,337,3306.1,1203,21758.96,620,14634.1,1,10.61,0,0,1,10.61
Imphal East,2619,5874.05,1323,21031.34,549,12329.98,97,1009.32,0,0,97,1009.32
Imphal West,4140,21861.24,4871,96025.11,166,4118.41,62,656.55,0,0,62,635.54
Jiribam,3,21.57,8,150.15,0,0,0,0,0,0,0,0
Kakching,129,1656.38,372,7490.6,6,145.46,0,0,0,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,97,1309.15,258,3867.38,157,3671.55,0,0,0,0,0,0
Noney,0,0,2,61.18,2,61.18,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2520,2077.7,518,8825.9,380,9762.33,0,0,0,0,0,0
Tamenglong,8,91.42,8,174.45,0,0,0,0,0,0,0,0
Tengnoupal,42,551.56,64,1324.8,60,1293.57,0,0,0,0,0,0
Thoubal,448,4524.37,772,13059.23,99,2502.17,16,224.33,0,0,17,240.7
Ukhrul,13,90.62,8,364.26,0,0,0,0,0,0,0,0
