District,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bishnupur,99,312.53,144,166.87,5,0.07,11,5.46,3.27
Chandel,0,0,2,0.06,0,0,2,0.06,100
Churachandpur,180,283.39,269,375.55,28,12.62,27,32.42,8.63
Imphal East,268,519.32,896,1126.24,6,2.47,14,10.16,0.9
Imphal West,232,451.15,649,751.17,14,17.85,5,5.53,0.74
Jiribam,0,0,64,54.09,7,0.47,0,0,0
Kakching,65,69.39,185,213.24,21,26.36,2,0.44,0.21
Kamjong,0,0,0,0,0,0,0,0,0
Kangpokpi,13,10.9,18,14.19,1,0,0,0,0
Noney,26,47,40,56.81,0,0,7,4.58,8.06
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,11,25.62,22,35.67,0,0,0,0,0
Tamenglong,0,0,1,2.95,0,0,0,0,0
Tengnoupal,59,62.59,196,240.21,10,19.3,3,3.79,1.58
Thoubal,303,489.43,693,946.62,7,4.01,100,75.01,7.92
Ukhrul,0,0,2,2.02,0,0,0,0,0
