District,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Bishnupur,5693,3903.86,3880,8376.16,3,7.76,550,288.23,10126,12576.01
Chandel,206,127.98,35,42.77,0,0.00,4,6.40,245,177.15
Churachandpur,2601,2226.96,1151,1499.38,0,0.00,94,489.59,3846,4215.93
Imphal East,2830,2986.91,5240,10897.85,12,125187.28,1291,1915.78,9373,140987.82
Imphal West,13548,15285.15,9033,25192.50,15,56.88,1659,14947.48,24255,55482.01
Jiribam,68,30.40,32,57.42,0,0.00,13,96.63,113,184.45
Kakching,1277,2025.05,1698,3308.69,7,4.91,192,221.37,3174,5560.02
Kamjong,15,15.16,0,0.00,0,0.00,5,25.71,20,40.87
Kangpokpi,897,566.03,159,303.57,0,0.00,58,162.54,1114,1032.14
Noney,199,138.65,402,359.08,0,0.00,17,118.93,618,616.66
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,1856,1325.34,291,631.94,0,0.00,68,118.64,2215,2075.92
Tamenglong,173,129.12,107,81.69,0,0.00,26,40.79,306,251.60
Tengnoupal,203,112.55,426,589.39,0,0.00,63,159.25,692,861.19
Thoubal,3670,3359.17,4917,12581.01,4,7.13,521,747.72,9112,16695.03
Ukhrul,608,572.94,291,383.89,4,8.80,31,87.48,934,1053.11
