District,Bank Name,Inactive CSPs,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenticated SB accounts,RuPaycardissuedin KCC
Bishnupur,BOB,8,30885,15649,188449,4593
Chandel,BOI,1,3913,1408,24037,2
Churachandpur,BOM,11,28698,7549,165374,646
Imphal East,CAN,10,34374,18272,190258,2108
Imphal West,CBI,431,78895,42572,443352,8000
Jiribam,IND,0,148,132,5162,28
Kakching,IOB,1,16331,7913,78045,850
Kamjong,PNB,0,1041,361,3820,0
Kangpokpi,PSB,0,10272,7684,56785,498
Noney,SBI,1,3605,2408,8622,75
Pherzawl,UCO,0,0,0,0,0
Senapati,UNI,4,11727,3826,76802,197
Tamenglong,Total,1,1141,760,4465,14
Tengnoupal,AXIS,0,5127,3085,22294,17
Thoubal,BAND,22,38677,15215,156472,2368
Ukhrul,HDFC,1,9421,5529,49682,86
