district,Sep-I No.,Sep-I Amt,Sep-G No,Sep-G Amt.,Sep-G No. of Beneficia ry,SHG No.,SHG Amt,SHG No. of Beneficia ry,Women SHG No.,Women SHG Amt.,Women SHG No. of Beneficia ry,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amount,NULM O/S No.,NULM O/S Amt.,NULM NPA No.,NULM NPA Amt.,NULM NPA Amt. %
Bishnupur,0,0,0,0,0,1,1.5,10,1,1.5,10,1,1.5,19,20.45,0,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5.05,4,1.69,33.47
Imphal East,0,0,0,0,0,3,7,30,3,7,30,3,7,11,12.28,3,3.48,28.34
Imphal West,0,0,0,0,0,2,12,20,2,12,20,2,12,48,67.89,17,16.74,24.66
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.46,2,1.23,84.25
Kakching,0,0,0,0,0,1,1,10,1,1,10,1,1,12,7.05,7,3.26,46.24
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.37,1,2.04,16.49
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.19,2,0.14,73.68
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,0,0,0,0,0,0,0,0,80,132.85,8,8.45,6.36
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4.59,12,1.38,30.07
