district,Bank Name,KCCs for AH and Allied Activities No,Amt,Farm Production No,Amt,Dairy No,Amt,Farm Mechanisation No,Amt,Poultry No,Amt,fisheries No,Amt,Godown No,Amt,Clinic No,Amt,Other No,Amt,Total IC- Agri Disb No,Amt
Bishnupur,,17,2532.69,0,2532.69,2,2532.69,0,2532.69,13,2532.69,15,2532.69,0,2532.69,0,2532.69,654,2532.69,701,2532.69
Chandel,,18,111.60,0,111.60,2,111.60,0,111.60,0,111.60,0,111.60,0,111.60,0,111.60,1,111.60,21,111.60
Churachandpur,,9,472.04,0,472.04,2,472.04,0,472.04,32,472.04,4,472.04,0,472.04,0,472.04,65,472.04,112,472.04
Imphal East,,56,2263.42,0,2263.42,9,2263.42,0,2263.42,42,2263.42,6,2263.42,0,2263.42,0,2263.42,528,2263.42,641,2263.42
Imphal West,,274,10894.57,0,10894.57,20,10894.57,0,10894.57,45,10894.57,38,10894.57,0,10894.57,0,10894.57,2178,10894.57,2555,10894.57
Jiribam,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Kakching,,24,110.64,0,110.64,0,110.64,0,110.64,4,110.64,6,110.64,0,110.64,0,110.64,6,110.64,40,110.64
Kamjong,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Kangpokpi,,31,203.72,0,203.72,5,203.72,0,203.72,44,203.72,0,203.72,0,203.72,0,203.72,40,203.72,120,203.72
Noney,,0,10.77,0,10.77,0,10.77,0,10.77,1,10.77,0,10.77,0,10.77,0,10.77,8,10.77,9,10.77
Pherzawl,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,,0,79.99,0,79.99,4,79.99,0,79.99,8,79.99,4,79.99,0,79.99,0,79.99,5,79.99,21,79.99
Tamenglong,,3,36.23,0,36.23,0,36.23,0,36.23,1,36.23,2,36.23,0,36.23,0,36.23,18,36.23,24,36.23
Tengnoupal,,0,11.27,0,11.27,0,11.27,0,11.27,0,11.27,0,11.27,0,11.27,0,11.27,13,11.27,13,11.27
Thoubal,,88,4820.23,0,4820.23,7,4820.23,0,4820.23,20,4820.23,6,4820.23,0,4820.23,0,4820.23,1439,4820.23,1560,4820.23
Ukhrul,,3,117.49,0,117.49,5,117.49,0,117.49,6,117.49,7,117.49,0,117.49,0,117.49,17,117.49,38,117.49
