district,Bank Name,CHRISTIANS No,Amt,MUSLIMS No,Amt,BUDDHISTS No,Amt,SIKHS No,Amt,ZORASTRIANS No,Amt,JAINS No,Amt,Tot Minority Disb No,Amt
Bishnupur,,81,792.78,144,792.78,0,792.78,11,792.78,0,792.78,1,792.78,237,792.78
Chandel,,762,4570.18,6,4570.18,0,4570.18,0,4570.18,0,4570.18,0,4570.18,768,4570.18
Churachandpur,,3568,24013.69,132,24013.69,5,24013.69,1,24013.69,0,24013.69,0,24013.69,3706,24013.69
Imphal East,,291,4746.33,445,4746.33,2,4746.33,8,4746.33,2,4746.33,2,4746.33,750,4746.33
Imphal West,,1016,14971.29,745,14971.29,5,14971.29,18,14971.29,0,14971.29,12,14971.29,1796,14971.29
Jiribam,,6,147.17,11,147.17,0,147.17,0,147.17,0,147.17,0,147.17,17,147.17
Kakching,,96,1044.38,46,1044.38,1,1044.38,20,1044.38,0,1044.38,0,1044.38,163,1044.38
Kamjong,,53,349.11,0,349.11,1,349.11,0,349.11,0,349.11,0,349.11,54,349.11
Kangpokpi,,1192,6970.05,12,6970.05,1,6970.05,2,6970.05,0,6970.05,0,6970.05,1207,6970.05
Noney,,128,1052.60,1,1052.60,1,1052.60,0,1052.60,0,1052.60,0,1052.60,130,1052.60
Pherzawl,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,,1941,9142.15,72,9142.15,4,9142.15,1,9142.15,0,9142.15,0,9142.15,2018,9142.15
Tamenglong,,187,1961.62,1,1961.62,1,1961.62,1,1961.62,0,1961.62,0,1961.62,190,1961.62
Tengnoupal,,341,2569.78,57,2569.78,1,2569.78,3,2569.78,0,2569.78,0,2569.78,402,2569.78
Thoubal,,71,3372.79,564,3372.79,2,3372.79,3,3372.79,0,3372.79,0,3372.79,640,3372.79
Ukhrul,,877,5577.24,3,5577.24,2,5577.24,1,5577.24,0,5577.24,0,5577.24,883,5577.24
