District,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other Msme No.,Other Msme Amt,Msme Total O/S No.,Msme Total O/S Amt
Bishnupur,4360,7104.47,26,881.29,1,9.33,4,43.60,4391,8038.69
Chandel,670,927.85,1,0.57,0,0.00,0,0.00,671,928.42
Churachandpur,2550,11816.87,31,859.54,2,25.32,11,25.40,2594,12727.13
Imphal East,8452,21143.80,152,4845.80,12,47.12,2,26.24,8618,26062.96
Imphal West,16439,83168.47,474,32190.47,35,4668.10,152,568.72,17100,120595.76
Jiribam,127,281.74,5,7.25,0,0.00,0,0.00,132,288.99
Kakching,2671,5240.44,80,403.05,1,2.42,0,0.00,2752,5645.91
Kamjong,137,122.56,0,0.00,0,0.00,0,0.00,137,122.56
Kangpokpi,798,2439.83,12,138.05,0,0.00,0,0.00,810,2577.88
Noney,357,586.98,1,3.00,0,0.00,0,0.00,358,589.98
Pherzawl,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Senapati,2356,7978.61,64,454.12,2,4.70,4,21.68,2426,8459.11
Tamenglong,473,1030.36,13,51.68,0,0.00,0,0.00,486,1082.04
Tengnoupal,1087,1318.94,54,38.77,1,0.00,0,0.00,1142,1357.71
Thoubal,5556,10571.17,45,1637.15,3,74.91,4,30.60,5608,12313.83
Ukhrul,1379,3071.25,7,113.18,0,0.00,2,4.82,1388,3189.25
