District,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Amt. %
Bishnupur,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,18,19.19,0,0.00,0.00
Chandel,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Churachandpur,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,16,22.36,4,1.69,7.56
Imphal East,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,11,11.02,3,3.32,30.13
Imphal West,0,0,0,0,0,83,5.02,7,68,1.77,5,83,5.02,41,56.44,14,12.67,22.45
Jiribam,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,3,1.44,2,1.23,85.42
Kakching,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,12,6.06,7,3.26,53.80
Kamjong,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Kangpokpi,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,2,1.61,0,0.00,0.00
Noney,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Pherzawl,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Senapati,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,4,11.93,1,2.04,17.10
Tamenglong,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,3,0.19,2,0.14,73.68
Tengnoupal,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,0,0.00,0,0.00,0.00
Thoubal,0,0,0,0,0,1,0.00,1,0,0.00,1,1,0.00,82,142.45,6,7.06,4.96
Ukhrul,0,0,0,0,0,0,0.00,0,0,0.00,0,0,0.00,21,5.35,12,1.38,25.79
