District,Inactive BC,Active RuPay Card in PMJDY,First Time Active RuPay Card,Aadhaar Authenticated Sb Accounts,RuPay Card Issued in KCC
East Garo Hills,3,23929,23342,1520,952
East Jaintia Hills,6,9815,5677,3010,10
East Khasi Hills,8,86628,66441,45837,4705
North Garo Hills,0,41629,41463,174,903
Ri Bhoi,4,30965,26574,5685,8844
South Garo Hills,0,12153,11460,87,17
South West Garo Hills,0,29759,29290,1716,675
South West Khasi Hills,0,12471,3773,98,123
West Garo Hills,1,117433,113512,8056,1066
West Jaintia Hills,1,23900,17700,3085,761
West Khasi Hills,0,19126,13992,2788,4314
