district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
East Garo Hills,1,7,0,30,4,34,6,7,1,8,14
East Jaintia Hills,13,1,0,22,11,40,20,3,0,14,23
East Khasi Hills,26,16,225,113,16,133,50,29,109,267,188
North Garo Hills,4,2,0,18,1,19,7,3,0,6,10
Ri Bhoi,25,12,1,43,19,63,33,15,1,38,49
South Garo Hills,3,1,0,86,26,112,3,3,1,4,7
South West Garo Hills,6,0,0,25,5,30,10,3,0,6,13
South West Khasi Hills,6,0,0,2,10,12,6,1,0,6,7
West Garo Hills,11,28,2,83,20,104,18,18,6,41,42
West Jaintia Hills,8,18,2,46,23,73,20,21,3,28,44
West Khasi Hills,0,10,1,79,36,114,15,12,2,11,29
