District,Inactive CSP,Active RuPay Card in PMJDY,First Time Active RuPay Card,Aadhaar Authenticated Sb Accounts,RuPay Card Issued in KCC
East Garo Hills,5,17487,17187,5062,620
East Jaintia Hills,7,21152,11748,6237,18
East Khasi Hills,186,90897,66575,63244,5279
Eastern West Khasi Hills,6,11616,4736,1187,968
North Garo Hills,2,31139,30888,3572,707
Ri Bhoi,9,25729,16532,6189,7758
South Garo Hills,1,10571,10411,3334,63
South West Garo Hills,8,24183,23660,8142,565
South West Khasi Hills,0,11140,1769,218,337
West Garo Hills,7,82640,79774,34121,1138
West Jaintia Hills,16,19659,9560,6653,604
West Khasi Hills,7,11968,5156,2449,2455
